head;relation;tail
aquaculture mooring manager;exactMatch;aquaculture mooring manager
wine fermenter;exactMatch;wine fermenter
first-line supervisors of protective service workers, all other;exactMatch;first-line supervisors of protective service workers, all other
shop keepers;exactMatch;shop keepers
area, ethnic, and cultural studies teachers, postsecondary;exactMatch;area, ethnic, and cultural studies teachers, postsecondary
immigration officer;exactMatch;immigration officer
land-based machinery operator;exactMatch;land-based machinery operator
industrial machinery mechanic;exactMatch;industrial machinery mechanic
home appliance repairers;exactMatch;home appliance repairers
freinet school teacher;exactMatch;freinet school teacher
personal care and service workers, all other;exactMatch;personal care and service workers, all other
sales and related workers, all other;exactMatch;sales and related workers, all other
furniture restorer;exactMatch;furniture restorer
door installer;exactMatch;door installer
receptionists (general);exactMatch;receptionists (general)
sorter labourer;exactMatch;sorter labourer
rental service representative in air transport equipment;exactMatch;rental service representative in air transport equipment
Printing Workers;exactMatch;Printing Workers
football coach;exactMatch;football coach
preventive medicine physicians;exactMatch;preventive medicine physicians
coating, painting, and spraying machine setters, operators, and tenders;exactMatch;coating, painting, and spraying machine setters, operators, and tenders
gambling managers;exactMatch;gambling managers
enterprise development worker;exactMatch;enterprise development worker
public employment service manager;exactMatch;public employment service manager
education inspector;exactMatch;education inspector
coffee roaster;exactMatch;coffee roaster
contact centre manager;exactMatch;contact centre manager
communications equipment operators;exactMatch;communications equipment operators
structural-metal preparers and erectors;exactMatch;structural-metal preparers and erectors
advertising media buyer;exactMatch;advertising media buyer
mechatronics engineering technician;exactMatch;mechatronics engineering technician
automated optical inspection operator;exactMatch;automated optical inspection operator
lime kiln operator;exactMatch;lime kiln operator
marine upholsterer;exactMatch;marine upholsterer
waiter/waitress;exactMatch;waiter/waitress
import export specialist in electronic and telecommunications equipment;exactMatch;import export specialist in electronic and telecommunications equipment
cacao bean roaster;exactMatch;cacao bean roaster
coastguard watch officer;exactMatch;coastguard watch officer
cable jointer;exactMatch;cable jointer
traditional and complementary medicine associate professionals;exactMatch;traditional and complementary medicine associate professionals
rubber cutting machine tender;exactMatch;rubber cutting machine tender
glass and ceramics plant operators;exactMatch;glass and ceramics plant operators
stringed musical instrument maker;exactMatch;stringed musical instrument maker
veterinary medicine lecturer;exactMatch;veterinary medicine lecturer
orthodontists;exactMatch;orthodontists
bodyguard;exactMatch;bodyguard
word processors and typists;exactMatch;word processors and typists
park naturalists;exactMatch;park naturalists
geological technicians, except hydrologic technicians;exactMatch;geological technicians, except hydrologic technicians
nuclear reactor operator;exactMatch;nuclear reactor operator
recreation policy officer;exactMatch;recreation policy officer
chemistry technician;exactMatch;chemistry technician
textile cutting machine setters, operators, and tenders;exactMatch;textile cutting machine setters, operators, and tenders
library manager;exactMatch;library manager
dredge operators;exactMatch;dredge operators
mechanical engineers;exactMatch;mechanical engineers
separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders;exactMatch;separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders
eyewear and optical equipment shop manager;exactMatch;eyewear and optical equipment shop manager
tourist guide;exactMatch;tourist guide
tailors, dressmakers, and custom sewers;exactMatch;tailors, dressmakers, and custom sewers
energy trader;exactMatch;energy trader
biofuels processing technicians;exactMatch;biofuels processing technicians
security guards;exactMatch;security guards
motorboat mechanics and service technicians;exactMatch;motorboat mechanics and service technicians
title examiners, abstractors, and searchers;exactMatch;title examiners, abstractors, and searchers
medicine lecturer;exactMatch;medicine lecturer
kitchen porter;exactMatch;kitchen porter
medical and clinical laboratory technologists;exactMatch;medical and clinical laboratory technologists
business analyst;exactMatch;business analyst
air traffic safety electronics technicians;exactMatch;air traffic safety electronics technicians
level crossing signalperson;exactMatch;level crossing signalperson
flight attendant;exactMatch;flight attendant
rubber dipping machine operator;exactMatch;rubber dipping machine operator
rail-track laying and maintenance equipment operators;exactMatch;rail-track laying and maintenance equipment operators
