head;relation;tail
angiosarcoma;exactmatch;hemangiosarcoma
patau syndrome;exactmatch;trisomy 13
gastrojejunal ulcer;exactmatch;acute gastrojejunal ulcer with hemorrhage
obsessive-compulsive personality disorder;exactmatch;ocpd
obsessive-compulsive disorder;exactmatch;obsessive compulsive disorder
dissociative disorder;exactmatch;dissociative disease
intracranial aneurysm;exactmatch;brain aneurysm
strongyloidiasis;exactmatch;disseminated strongyloidiasis
cholesteatoma of middle ear;exactmatch;middle ear cholesteatoma
spastic hemiplegia;exactmatch;hemiplegic cerebral palsy
spastic monoplegia;exactmatch;infantile monoplegic cerebral palsy
spastic quadriplegia;exactmatch;spastic quadriplegic cerebral palsy
alpha thalassemia;exactmatch;alpha-thalassemia
acute hemorrhagic leukoencephalitis;exactmatch;weston-hurst syndrome
felty's syndrome;exactmatch;felty syndrome
meconium aspiration syndrome;exactmatch;meconium aspiration
urinary bladder cancer;exactmatch;bladder cancer
pasteurellosis;exactmatch;pasteurella infectious disease
brucellosis;exactmatch;maltese fever
trench fever;exactmatch;his-werner disease
bartonellosis;exactmatch;bartonella infectious disease
sickle cell anemia;exactmatch;hb-ss disease without crisis
siberian tick typhus;exactmatch;rickettsia sibirica spotted fever
wernicke-korsakoff syndrome;exactmatch;korsakoff syndrome
fiedler's myocarditis;exactmatch;fiedler myocarditis
fanconi syndrome;exactmatch;adult fanconi syndrome
microphthalmia;exactmatch;microphthalmos
colonic lymphangioma;exactmatch;lymphangioma of colon
primary open angle glaucoma;exactmatch;chronic simple glaucoma
giardiasis;exactmatch;beaver feaver
lymphoid leukemia;exactmatch;subacute lymphoid leukemia
petrositis;exactmatch;acute petrositis
primary polycythemia;exactmatch;familial erythrocytosis
amnestic disorder;exactmatch;amnesia
queensland tick typhus;exactmatch;rickettsia australis spotted fever
gastric ulcer;exactmatch;acute gastric ulcer with hemorrhage and perforation
edwards syndrome;exactmatch;trisomy 18
salivary gland disease;exactmatch;salivary gland disease
age related macular degeneration;exactmatch;age-related macular degeneration
epidemic pleurodynia;exactmatch;bamble disease
tethered spinal cord syndrome;exactmatch;spinal dysraphism
hypospadias;exactmatch;familial hypospadias
rickettsialpox;exactmatch;rickettsia akari spotted fever
fundus albipunctatus;exactmatch;retinitis punctata albescens
gilles de la tourette syndrome;exactmatch;tourette syndrome
mitral valve insufficiency;exactmatch;congenital mitral regurgitation
congenital aphakia;exactmatch;aphakia, congenital primary
diphtheria;exactmatch;corynebacterium infection
endometriosis of ovary;exactmatch;ovarian endometriosis
allergic cutaneous vasculitis;exactmatch;autoimmune hypersensitivity angiitis
autonomic nervous system disease;exactmatch;autonomic nervous system disorder
polydactyly;exactmatch;postaxial polydactyly
horner's syndrome;exactmatch;horner syndrome
cardiac tamponade;exactmatch;pericardial tamponade
budd-chiari syndrome;exactmatch;hepatic vein thrombosis
arcus senilis;exactmatch;corneal arcus
fissured tongue;exactmatch;tongue, fissured
adie syndrome;exactmatch;adie's syndrome
bowman's membrane folds or rupture;exactmatch;bowman membrane folds or rupture
fuchs' endothelial dystrophy;exactmatch;fced
chondrocalcinosis;exactmatch;calcium pyrophosphate deposition disease
frey syndrome;exactmatch;baillarger syndrome
pericardium cancer;exactmatch;malignant neoplasm of pericardium
penile cancer;exactmatch;malignant neoplasm of body of penis
cicatricial pemphigoid;exactmatch;benign mucous membrane pemphigoid
phlebotomus fever;exactmatch;pappataci fever
gingival recession;exactmatch;localized gingival recession
sarcoma;exactmatch;connective and soft tissue neoplasm
adhesive otitis media;exactmatch;chronic adhesive otitis media
pertussis;exactmatch;bordetella infection
respiratory failure;exactmatch;chronic respiratory failure
anogenital venereal wart;exactmatch;genital wart virus infectious disease
esophageal varix;exactmatch;bleeding esophageal varices
parathyroid gland disease;exactmatch;disease of parathyroid glands
primary hyperparathyroidism;exactmatch;familial primary hyperparathyroidism
angelucci's syndrome;exactmatch;angelucci syndrome
small intestine diverticulitis;exactmatch;diverticulosis of small intestine with hemorrhage
spondyloarthropathy;exactmatch;spondylarthrosis
typhus;exactmatch;endemic flea-borne typhus
pneumocystosis;exactmatch;pneumocystis jirovecii pneumonia
