head;relation;tail
aarskog syndrome, autosomal dominant;exactmatch;aarskog syndrome, autosomal dominant
glioma susceptibility 3;exactmatch;glioma susceptibility 3
bronchiectasis with or without elevated sweat chloride 2;exactmatch;bronchiectasis with or without elevated sweat chloride 2
follicular lymphoma, susceptibility to, 1;exactmatch;follicular lymphoma, susceptibility to, 1
schizophrenia 13;exactmatch;schizophrenia 13
chromosome 19q13.11 deletion syndrome, distal;exactmatch;chromosome 19q13.11 deletion syndrome, distal
glycogen storage disease ixc;exactmatch;glycogen storage disease ixc
glioma susceptibility 2;exactmatch;glioma susceptibility 2
glioma susceptibility 5;exactmatch;glioma susceptibility 5
neuroblastoma, susceptibility to, 5;exactmatch;neuroblastoma, susceptibility to, 5
glioma susceptibility 6;exactmatch;glioma susceptibility 6
glioma susceptibility 7;exactmatch;glioma susceptibility 7
glioma susceptibility 8;exactmatch;glioma susceptibility 8
hearing loss, noise-induced, susceptibility to;exactmatch;hearing loss, noise-induced, susceptibility to
pituitary hormone deficiency, combined or isolated, 1;exactmatch;pituitary hormone deficiency, combined or isolated, 1
atrial fibrillation, familial, 8;exactmatch;atrial fibrillation, familial, 8
neuroblastoma, susceptibility to, 6;exactmatch;neuroblastoma, susceptibility to, 6
neuroblastoma, susceptibility to, 4;exactmatch;neuroblastoma, susceptibility to, 4
basal cell carcinoma, susceptibility to, 3;exactmatch;basal cell carcinoma, susceptibility to, 3
immunodeficiency 83, susceptibility to viral infections;exactmatch;encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 2
optic atrophy 7 with or without auditory neuropathy;exactmatch;optic atrophy 7 with or without auditory neuropathy
spermatogenic failure 7;exactmatch;male infertility, nonsyndromic, autosomal recessive
emery-dreifuss muscular dystrophy 4, autosomal dominant;exactmatch;emery-dreifuss muscular dystrophy 4 with variable features
emery-dreifuss muscular dystrophy 5, autosomal dominant;exactmatch;emery-dreifuss muscular dystrophy 5, autosomal dominant
palmoplantar keratoderma, nonepidermolytic, focal 1;exactmatch;focal nonepidermolytic palmoplantar keratoderma
encephalocraniocutaneous lipomatosis;exactmatch;encephalocraniocutaneous lipomatosis
attention deficit-hyperactivity disorder, susceptibility to, 7;exactmatch;adhd7
neuroblastoma, susceptibility to, 3;exactmatch;neuroblastoma, susceptibility to, 3
santos syndrome;exactmatch;fibular agenesis/hypoplasia, oligodactylous clubfeet, and anonychia/nail hypoplasia syndrome
iia 1 diabetes mellitus 24;exactmatch;iia 1 diabetes mellitus 24
biliary cirrhosis, primary, 2;exactmatch;biliary cirrhosis, primary, 2
biliary cirrhosis, primary, 3;exactmatch;biliary cirrhosis, primary, 3
lymphoproliferative syndrome 1;exactmatch;lymphoproliferative syndrome 1
neuroblastoma, susceptibility to, 2;exactmatch;neuroblastoma with hirschsprung disease
basal cell carcinoma, susceptibility to, 2;exactmatch;basal cell carcinoma, susceptibility to, 2
epilepsy, idiopathic generalized, susceptibility to, 10;exactmatch;epilepsy, idiopathic generalized, susceptibility to, 10
vertigo, benign recurrent, 2;exactmatch;vertigo, benign recurrent, 2
cone dystrophy 4;exactmatch;achromatopsia 5
atrial septal defect 6;exactmatch;atrial septal defect 6
pelvic organ prolapse, susceptibility to, 2;exactmatch;pelvic organ prolapse, susceptibility to, 2
capillary malformation of the lower lip, lymphatic malformation of face and neck, asymmetry of face and limbs, and partial/generalized overgrowth;exactmatch;capillary malformation of the lower lip, lymphatic malformation of face and neck, asymmetry of face and limbs, and partial/generalized overgrowth
bartter syndrome,  iia 4b, neonatal, with sensorineural deafness;exactmatch;bartter syndrome,  iia 4b, neonatal, with sensorineural deafness
short-rib thoracic dysplasia 3 with or without polydactyly;exactmatch;asphyxiating thoracic dystrophy 3
tubulointerstitial kidney disease, autosomal dominant, 4;exactmatch;early-onset hyperuricemia, anemia, and progressive kidney failure
microphthalmia, isolated 4;exactmatch;microphthalmia, isolated 4
glaucoma 3, primary congenital, c;exactmatch;glaucoma 3, primary congenital, c
polycystic kidney disease 2 with or without polycystic liver disease;exactmatch;polycystic kidney disease 2 with or without polycystic liver disease
spastic paraplegia 36, autosomal dominant;exactmatch;spastic paraplegia 36, autosomal dominant
melanoma, cutaneous malignant, susceptibility to, 5;exactmatch;melanoma, cutaneous malignant, susceptibility to, 5
glaucoma 1, open angle, o;exactmatch;glaucoma 1, open angle, o
hemophagocytic lymphohistiocytosis, familial, 5, with or without microvillus inclusion disease;exactmatch;hemophagocytic lymphohistiocytosis, familial, 5, with or without microvillus inclusion disease
hypotrichosis and recurrent skin vesicles;exactmatch;hypotrichosis and recurrent skin vesicles
glaucoma 3, primary congenital, d;exactmatch;glaucoma 3, primary congenital, d
46,xy sex reversal 5;exactmatch;46,xy gonadal dysgenesis, complete, cbx2-related
basal cell carcinoma, susceptibility to, 4;exactmatch;basal cell carcinoma, susceptibility to, 4
liver failure, infantile, transient;exactmatch;liver failure, infantile, transient
basal cell carcinoma, susceptibility to, 5;exactmatch;basal cell carcinoma, susceptibility to, 5
basal cell carcinoma, susceptibility to, 6;exactmatch;basal cell carcinoma, susceptibility to, 6
dermatitis, atopic, 7;exactmatch;dermatitis, atopic, 7
leukemia, acute lymphoblastic;exactmatch;all1
leukemia, acute lymphoblastic, susceptibility to, 2;exactmatch;leukemia, acute lymphoblastic, susceptibility to, 2
neurodegeneration due to cerebral folate transport deficiency;exactmatch;neurodegeneration due to cerebral folate transport deficiency
bronchiectasis with or without elevated sweat chloride 3;exactmatch;bronchiectasis with or without elevated sweat chloride 3
deafness, autosomal recessive 77;exactmatch;deafness, autosomal recessive 77
metaphyseal anadysplasia 2;exactmatch;metaphyseal anadysplasia 2
deafness, autosomal dominant 50;exactmatch;deafness, autosomal dominant 50
macs syndrome;exactmatch;macrocephaly, alopecia, cutis laxa, and scoliosis
myopathy, mitochondrial progressive, with congenital cataract and developmental delay;exactmatch;mitochondrial complex deficiency, combined
progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant 5;exactmatch;progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant 5
nijmegen breakage syndrome-like disorder;exactmatch;microcephaly and spontaneous chromosome instability without immunodeficiency
age-related hearing impairment 2;exactmatch;age-related hearing impairment 2
short sleep, familial natural, 1;exactmatch;short sleep phenotype
cataract 34, multiple types;exactmatch;cataract 34, multiple types
pulmonary hypertension, chronic thromboembolic, without deep vein thrombosis, susceptibility to;exactmatch;cteph, dvt-negative, susceptibility to
keratosis follicularis spinulosa decalvans, autosomal dominant;exactmatch;keratosis follicularis spinulosa decalvans, autosomal dominant
brachyolmia  iia 4 with mild epiphyseal and metaphyseal changes;exactmatch;brachyolmia  iia 4 with mild epiphyseal and metaphyseal changes
narcolepsy 5, susceptibility to;exactmatch;narcolepsy 5, susceptibility to
osteomyelitis, sterile multifocal, with periostitis and pustulosis;exactmatch;interleukin 1 receptor antagonist deficiency
restless legs syndrome, susceptibility to, 7;exactmatch;restless legs syndrome, susceptibility to, 7
orofacial cleft 12;exactmatch;cleft 51p with or without cleft palate, nonsyndromic, 12
chromosome 6q24-q25 deletion syndrome;exactmatch;chromosome 6q24-q25 deletion syndrome
leukocyte adhesion deficiency,  iia 3;exactmatch;integrin activation deficiency disease
corneal dystrophy, subepithelial mucinous;exactmatch;corneal dystrophy, subepithelial mucinous
corneal dystrophy, posterior amorphous;exactmatch;chromosome 12q21.33 deletion syndrome
erythrocyte amp deaminase deficiency;exactmatch;erythrocyte amp deaminase deficiency
spinocerebellar ataxia 9;exactmatch;spinocerebellar ataxia 9
cardiomyopathy, dilated, 1bb;exactmatch;cardiomyopathy, dilated, 1bb
chromosome 5q14.3 deletion syndrome, distal;exactmatch;chromosome 5q14.3 deletion syndrome, distal
hypotrichosis 5;exactmatch;hypotrichosis 5
brugada syndrome 5;exactmatch;brugada syndrome 5
46,xy sex reversal 3;exactmatch;46,xy gonadal dysgenesis, partial or complete, with or without adrenal failure
isolated growth hormone deficiency,  iia 1b;exactmatch;ighd 1b
porphyria, acute hepatic;exactmatch;alad deficiency
synesthesia;exactmatch;synesthesia
cone-rod dystrophy 9;exactmatch;cone-rod dystrophy 9
hypoglossia with situs inversus;exactmatch;hypoglossia with situs inversus
hypotonia, seizures, and precocious puberty;exactmatch;hypotonia, seizures, and precocious puberty
seizures, sensorineural deafness, ataxia, mental retardation, and electrolyte imbalance;exactmatch;east syndrome
immunodeficiency 9;exactmatch;immune dysfunction with t-cell inactivation due to calcium entry defect 1
spondyloepimetaphyseal dysplasia, aggrecan  iia;exactmatch;semd, aggrecan  iia
immunodeficiency 10;exactmatch;immune dysfunction with t-cell inactivation due to calcium entry defect 2
megarbane-jalkh syndrome;exactmatch;developmental delay, dysmorphic facial features, neonatal spontaneous fractures, wrinkled skin, and hepatic failure
deafness, autosomal recessive 71;exactmatch;deafness, autosomal recessive 71
atrial septal defect 5;exactmatch;atrial septal defect 5
inflammatory bowel disease 27;exactmatch;inflammatory bowel disease 27
