head;relation;tail
marine painter;exactmatch;marine blaster
cider fermentation process operator;exactmatch;cider producer
distillery miller;exactmatch;miller at a distillery
production assistant dairy product manufacture;exactmatch;dairy processor
process operator dairy processing;exactmatch;dairy production assistant
coffee grinder;exactmatch;coffee grinder operators
cocoa press assistant;exactmatch;cocoa presser
cocoa mill process operator;exactmatch;cocoa grinder
purification plant operator;exactmatch;purification plant operators
cigarette machine operator;exactmatch;cigarette machine operator
process operator chocolate foundry;exactmatch;chocolate foundry worker
drying plant employee;exactmatch;grain dryer
process operator frozen meals;exactmatch;process operator ready meals
centrifuge operator;exactmatch;centrifuge operator
cellar operator;exactmatch;fermentation cellar operators
confectionery machine operator;exactmatch;confectionery worker
animal feed employee;exactmatch;employee animal feed
cocoa bean roaster;exactmatch;chocolate maker chocolate producer
blancher;exactmatch;blanching machine operator
canning manufacturer;exactmatch;manufacturer of canned fruit and vegetables
distillery assistant;exactmatch;distillery worker
spice extract tester;exactmatch;spice blender
fish cannery employee;exactmatch;fish canner
malt furnace process operator;exactmatch;malt furnace operator
vermouth producer;exactmatch;vermouth production worker
sugar factory employee;exactmatch;sugar refining employee
process operator starch extraction;exactmatch;starch extractor
starch process operator;exactmatch;starch processor
blender operator;exactmatch;soft drinks manufacturer
refinery employee;exactmatch;refiner
pasta maker operator;exactmatch;pasta maker operator
process operator heat treatment of milk;exactmatch;employee heat treatment of milk
process operator in a liqueur factory;exactmatch;employee in a liqueur factory
beverage filtration technician;exactmatch;employee
liqueur blender;exactmatch;liqueur blender
boiler operator;exactmatch;chewing gum production operators
hydrogenation machine operator;exactmatch;hydrogenation technologist
germination operator;exactmatch;germination process operator
fruit presser;exactmatch;juicer
food production worker;exactmatch;food factory worker
employee fish production;exactmatch;fish processor
employee fat purification;exactmatch;employee fat purification plant
process operator flour purification;exactmatch;employee flour purification
carbonisation operator;exactmatch;carbonisation machine operator
shoe factory assistant;exactmatch;insole cutter
operator pultrusion machine;exactmatch;operator profile drawing
plastic furniture machine operator;exactmatch;plastic furniture machine operator
production assistant insulating tubes;exactmatch;production assistant insulating tubes
optical discs injection machine operator;exactmatch;optical discs injection machine operator
injection moulding machine operator;exactmatch;injection moulding machine operator
wire winding machine operator;exactmatch;wire winding machine operator
plastic moulding machine operator;exactmatch;plastic moulding machine operator
die press operator;exactmatch; die press operator
vacuum forming machine operator;exactmatch;thermoforming machine operator
plastic roll former operator;exactmatch;plastic roll former operator
cigar packer;exactmatch;cigar manufacturer
plastic heat treatment operator;exactmatch;plastic heat treatment operator
blow moulding machine operator;exactmatch;blow extrusion operator
cosmetics production machine operator;exactmatch;cosmetics production machine operator
varnisher;exactmatch;varnish preparer
pesticide applicator;exactmatch;pesticide applicator
paint mixer;exactmatch;paint master
paint grinder;exactmatch;paint mixer
chemical mixer;exactmatch;chemical process operator
canning and bottling line worker;exactmatch;canner
process operator packaging and filling machine;exactmatch;machine operator filling machine
cocoa bean cleaner;exactmatch;cocoa bean cleaner
tow tower operator;exactmatch;fiberglass operator
fruit and vegetable preserver;exactmatch;canner of fruit and vegetables
piping systems engineer;exactmatch;piping engineer
plumber;exactmatch;maintenance plumber
irrigation technician;exactmatch;sprinkler installation technician
gas technician;exactmatch;technician gas
drain technician;exactmatch;drain pipe fitter
sprinkler technician;exactmatch;sprinkler installation technician
steam plant operator;exactmatch;steam turbine operator
brick oven operator;exactmatch;brick press operator
automatic assembly line operator;exactmatch;assembler
tunnel kiln operator;exactmatch;tunnel dryer operator
brick kiln operator;exactmatch;brick drying plant operator
glaze kiln operator;exactmatch;ceramic kiln stealer
digester operator;exactmatch;digester operator
dry room assistant;exactmatch;dry house assistant
lime kiln operator;exactmatch;lime kiln process operator
pulp machine operator;exactmatch;paper pulp preparer in the paper industry
garment and textile assembly operator;exactmatch;full piece mechanic in garment industry
wine digester;exactmatch;vinification expert
yeast distiller;exactmatch;yeast producer
process operator mixer;exactmatch;mixer
chemical industry production manager;exactmatch;chemical production manager
wellness centre manager;exactmatch;sauna director
mining control room operator;exactmatch;mine supervisor
oil pump system operator;exactmatch;petroleum pump system operator
screen operator refinery;exactmatch;computer operator refinery
gas processing plant operator;exactmatch;gas distribution plant operator
gas processing plant control room operator;exactmatch;gas processing plant screen operator
control room operator chemical plant;exactmatch;switchboard operator chemical process industry
personal stylist;exactmatch;image stylist
shift manager refinery;exactmatch;foreman oil refinery
clothing designer;exactmatch;fashion designer
manager gas processing plant;exactmatch;responsible gas processing plant
secretary-general;exactmatch;general chairman
nursing home manager;exactmatch;head of nursing home
master coffee roaster;exactmatch;coffee producer
milk reception assistant;exactmatch;milk reception logistics assistant
coffee roaster;exactmatch;coffee producer
malt master;exactmatch;whisky distiller
youth centre manager;exactmatch;youth centre director
university lecturer in literature;exactmatch;university lecturer in literature
apparel product development manager;exactmatch;brand manager
brewery employee;exactmatch;beer brewer
process engineer pharmaceutical industry;exactmatch;project engineer pharmaceutical industry
operator shoe stitching machine;exactmatch;operator stitching machine (footwear)
shoe production machinery maintenance technician;exactmatch;footwear production machinery mechanic
shoe and leather goods cutting machine operator;exactmatch;shoe and leather goods cutting machine operator
machine operator shoe production;exactmatch;employee shoe factory
automatic cutting machine leather goods operator;exactmatch;operator automatic cutting machine leather goods
footwear production engineer;exactmatch;footwear assembly-finishing worker
manufacturing engineer;exactmatch;engineer-head of manufacturing workshop
plastics engineer;exactmatch;plastics engineer
paper production process engineer;exactmatch;paper and board industry engineer
milling machine;exactmatch;operator cnc milling machine
chemical engineer;exactmatch;chemical process engineer
chemical product developer;exactmatch;plastics technologist
farm milk controller;exactmatch;food and commodities law controller
food quality controller;exactmatch;food technologist
food analyst;exactmatch;nutritionist
chemical production quality engineer;exactmatch;chemical product quality controller
turner;exactmatch;conventional turner
metal turner;exactmatch;operator cnc metal lathe
clothing production manager;exactmatch;head of clothing industry
pulp quality controller;exactmatch;pulp and paper quality controller
gas compression operator;exactmatch;gas pumping station operator
travel agency manager;exactmatch;travel agency manager
cloakroom attendant;exactmatch;cloakroom assistant
clothes cutter;exactmatch;garment cutter
destination manager;exactmatch;destination manager
tourism contract negotiator;exactmatch;travel agent
tour operator manager;exactmatch;head of travel organisation
tourism product manager;exactmatch;tourism manager
special secondary education teacher;exactmatch;special secondary education teacher
home care worker;exactmatch;care and welfare assistant
public housing manager;exactmatch;planning and public housing policy officer
steam turbine operator;exactmatch;steam turbine turbine operator
home special education teacher;exactmatch;home special education teacher
special nursery education teacher;exactmatch;special nursery education teacher
special education teacher;exactmatch;special education teacher
special primary education teacher;exactmatch;special primary education teacher
nursery school teacher;exactmatch;childcare worker
regional development policy officer;exactmatch;regional development policy officer
