head;relation;tail
management occupations;narrowmatch;top executives
public safety telecommunicators;broadmatch;dispatchers
dispatchers, except police, fire, and ambulance;broadmatch;dispatchers
postal service workers;narrowmatch;postal service clerks
postal service clerks;broadmatch;postal service workers
postal service workers;narrowmatch;postal service mail carriers
postal service mail carriers;broadmatch;postal service workers
postal service workers;narrowmatch;postal service mail sorters, processors, and processing machine operators
postal service mail sorters, processors, and processing machine operators;broadmatch;postal service workers
secretaries and administrative assistants;narrowmatch;executive secretaries and executive administrative assistants
executive secretaries and executive administrative assistants;broadmatch;secretaries and administrative assistants
secretaries and administrative assistants;narrowmatch;legal secretaries and administrative assistants
legal secretaries and administrative assistants;broadmatch;secretaries and administrative assistants
secretaries and administrative assistants;narrowmatch;medical secretaries and administrative assistants
medical secretaries and administrative assistants;broadmatch;secretaries and administrative assistants
secretaries and administrative assistants;narrowmatch;secretaries and administrative assistants, except legal, medical, and executive
secretaries and administrative assistants, except legal, medical, and executive;broadmatch;secretaries and administrative assistants
other office and administrative support workers;narrowmatch;data entry and information processing workers
data entry and information processing workers;broadmatch;other office and administrative support workers
dispatchers;narrowmatch;dispatchers, except police, fire, and ambulance
dispatchers;narrowmatch;public safety telecommunicators
top executives;broadmatch;management occupations
freight forwarders;broadmatch;cargo and freight agents
material recording, scheduling, dispatching, and distributing workers;narrowmatch;cargo and freight agents
cargo and freight agents;broadmatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowmatch;couriers and messengers
couriers and messengers;broadmatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowmatch;dispatchers
dispatchers;broadmatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowmatch;meter readers, utilities
meter readers, utilities;broadmatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowmatch;postal service workers
postal service workers;broadmatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowmatch;production, planning, and expediting clerks
production, planning, and expediting clerks;broadmatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowmatch;shipping, receiving, and inventory clerks
shipping, receiving, and inventory clerks;broadmatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowmatch;weighers, measurers, checkers, and samplers, recordkeeping
weighers, measurers, checkers, and samplers, recordkeeping;broadmatch;material recording, scheduling, dispatching, and distributing workers
