head;tail;relation
angiosarcoma;hemangiosarcoma;exactmatch
patau syndrome;trisomy 13;exactmatch
gastrojejunal ulcer;acute gastrojejunal ulcer with hemorrhage;exactmatch
obsessive-compulsive personality disorder;ocpd;exactmatch
obsessive-compulsive disorder;obsessive compulsive disorder;exactmatch
dissociative disorder;dissociative disease;exactmatch
attention deficit hyperactivity disorder;adhd;exactmatch
intracranial aneurysm;brain aneurysm;exactmatch
strongyloidiasis;disseminated strongyloidiasis;exactmatch
cholesteatoma of middle ear;middle ear cholesteatoma;exactmatch
spastic diplegia;little's disease;exactmatch
spastic hemiplegia;hemiplegic cerebral palsy;exactmatch
spastic monoplegia;infantile monoplegic cerebral palsy;exactmatch
spastic quadriplegia;spastic quadriplegic cerebral palsy;exactmatch
alpha thalassemia;alpha-thalassemia;exactmatch
acute hemorrhagic leukoencephalitis;weston-hurst syndrome;exactmatch
felty's syndrome;felty syndrome;exactmatch
meconium aspiration syndrome;meconium aspiration;exactmatch
urinary bladder cancer;bladder cancer;exactmatch
pasteurellosis;pasteurella infectious disease;exactmatch
brucellosis;maltese fever;exactmatch
trench fever;his-werner disease;exactmatch
bartonellosis;bartonella infectious disease;exactmatch
sickle cell anemia;hb-ss disease without crisis;exactmatch
siberian tick typhus;rickettsia sibirica spotted fever;exactmatch
wernicke-korsakoff syndrome;korsakoff syndrome;exactmatch
fiedler's myocarditis;fiedler myocarditis;exactmatch
fanconi syndrome;adult fanconi syndrome;exactmatch
microphthalmia;microphthalmos;exactmatch
wolfram syndrome;didmoad;exactmatch
alzheimer's disease;alzheimer disease;exactmatch
colonic lymphangioma;lymphangioma of colon;exactmatch
primary open angle glaucoma;chronic simple glaucoma;exactmatch
giardiasis;beaver feaver;exactmatch
lymphoid leukemia;subacute lymphoid leukemia;exactmatch
petrositis;acute petrositis;exactmatch
primary polycythemia;familial erythrocytosis;exactmatch
amnestic disorder;amnesia;exactmatch
queensland tick typhus;rickettsia australis spotted fever;exactmatch
gastric ulcer;acute gastric ulcer with hemorrhage and perforation;exactmatch
nasal cavity lymphoma;lymphoma of nasal cavity;exactmatch
edwards syndrome;trisomy 18;exactmatch
