head;tail;relation
rectal lipoma;large intestine lipoma;broadmatch
ovarian primitive germ cell tumor;ovarian polyembryoma;narrowmatch
cervix carcinoma;cervical adenoid basal carcinoma;narrowmatch
chronic inflammatory demyelinating polyneuropathy;chronic inflammatory demyelinating polyneuritis;exactmatch
ampulla of vater adenosquamous carcinoma;ampulla of vater squamous cell carcinoma;broadmatch
barrett adenocarcinoma;esophagus adenocarcinoma;broadmatch
invasive ductal carcinoma, not otherwise specified;breast ductal carcinoma;broadmatch
supratentorial cancer;childhood supratentorial ependymoma;narrowmatch
quartan malaria;plasmodium malariae malaria;exactmatch
spotted fever;rocky mountain spotted fever;narrowmatch
fanconi anemia, complementation group a;fanconi anemia;broadmatch
benign migratory glossitis;atrophic glossitis;broadmatch
osteosclerotic plasma cell myeloma;osteosclerotic myeloma;exactmatch
lafora disease;lafora disease;exactmatch
melanotic neuroectodermal tumor;melanotic neuroectodermal tumor;exactmatch
viral infectious disease;western equine encephalomyelitis;narrowmatch
breast neuroendocrine neoplasm;breast neuroendocrine neoplasm;exactmatch
ureter abscess;ureteral disease;broadmatch
neurodermatitis;dermatitis;broadmatch
spinal cord astrocytoma;astrocytoma;broadmatch
trichothiodystrophy 4, nonphotosensitive;autosomal recessive disease;broadmatch
granular cell tumor;cutaneous granular cell tumor;narrowmatch
agnosia;pain agnosia;narrowmatch
crigler-najjar syndrome;crigler-najjar syndrome;exactmatch
testicular infarction;testicular disease;broadmatch
axillary lymphadenitis;lymphadenitis;broadmatch
mediastinal neurogenic neoplasm;malignant mediastinal neurogenic neoplasm;exactmatch
vein disease;portal vein thrombosis;narrowmatch
adenoma;microcystic adenoma;narrowmatch
peripheral ganglioneuroblastoma;peripheral nervous system disease;broadmatch
adenosine deaminase deficiency;adenosine deaminase deficiency;exactmatch
infantile neuroaxonal dystrophy;neurodegeneration with brain iron accumulation 2a;exactmatch
autosomal dominant disease;loeys-dietz syndrome;narrowmatch
islet cell tumor;pancreatic gastrin-producing neuroendocrine tumor;narrowmatch
paget disease of the scrotum;scrotum paget's disease;exactmatch
superficial multifocal basal cell carcinoma;basal cell carcinoma;broadmatch
rectal sarcoma;rectum sarcoma;exactmatch
stage ivb bladder cancer;bladder carcinoma;broadmatch
granular corneal dystrophy;corneal granular dystrophy;exactmatch
ectrodactyly-ectodermal dysplasia-cleft syndrome;autosomal dominant disease;broadmatch
choriocarcinoma of the testis;childhood testicular choriocarcinoma;narrowmatch
