head;tail;relation
renal cell carcinoma associated with neuroblastoma;renal cell cancer associated with neuroblastoma;exactmatch
benign female reproductive system neoplasm;benign female reproductive system neoplasm;exactmatch
malignant neck neoplasm;cancer of neck;exactmatch
benign lymphoproliferative disorder;benign lymphoproliferative disorder;exactmatch
localized lymphoma;localized lymphoma;exactmatch
recurrent hodgkin lymphoma;recurrent hodgkin lymphoma;exactmatch
ileal neuroendocrine tumor g1;carcinoid tumor of ileum;exactmatch
cerebral white matter;cerebral white matter;exactmatch
brain nucleus;brain nucleus;exactmatch
brain white matter;brain white matter;exactmatch
stage 0 pharyngeal cancer;carcinoma in situ of pharynx;exactmatch
epiglottis neoplasm;epiglottic neoplasm;exactmatch
retina layer;eye, retina;exactmatch
duodenal adenoma;duodenal adenoma;exactmatch
pseudostratified columnar epithelium;pseudostratified columnar epithelium;exactmatch
vaginal squamous epithelium;vaginal squamous epithelium;exactmatch
vaginal epithelium;vaginal epithelium;exactmatch
gland of littre;gland of littre;exactmatch
soft palate squamous cell carcinoma;scc of soft palate;exactmatch
pyriform fossa squamous cell carcinoma;epidermoid carcinoma of pyriform fossa;exactmatch
chest wall neoplasm;chest wall neoplasm;exactmatch
cerebral astrocytoma;astrocytoma of cerebral hemispheres;exactmatch
leptomeningeal neoplasm;leptomeningeal disease;exactmatch
benign neoplasm of the meninges;benign meningeal neoplasm;exactmatch
desmoplastic/nodular medulloblastoma;desmoplastic medulloblastoma;exactmatch
benign cerebellar neoplasm;benign cerebellar neoplasm;exactmatch
localized malignant brain neoplasm;localized malignant brain neoplasm;exactmatch
intracranial neoplasm;intracranial central nervous system neoplasm;exactmatch
localized brain neoplasm;localized brain neoplasm;exactmatch
colon non-hodgkin lymphoma;colon non-hodgkin lymphoma;exactmatch
sellar region neoplasm;neoplasm of sella turcica;exactmatch
liver lymphoma;hepatic lymphoma;exactmatch
vaginal fibroepithelial polyp;fibroepithelial polyp of vagina;exactmatch
convoluted tubule;convoluted tubule;exactmatch
intestinal wall tissue;intestinal wall tissue;exactmatch
vaginal condyloma;condylomata acuminata of vagina;exactmatch
thyroid gland hurthle cell carcinoma;hurthle cell carcinoma of thyroid;exactmatch
supraglottic squamous cell carcinoma;epidermoid carcinoma of supraglottis;exactmatch
tongue epithelium;tongue epithelium;exactmatch
hilar area of the lung;hilar area of the lung;exactmatch
malignant chromaffin cell;malignant chromaffin cell;exactmatch
malignant skeletal muscle cell;malignant skeletal muscle cell;exactmatch
anaplastic embryonal rhabdomyosarcoma;anaplastic embryonal rhabdomyosarcoma;exactmatch
fibrovascular septa present;fibrovascular septa present;exactmatch
primitive malignant skeletal muscle cell;primitive malignant skeletal muscle cell;exactmatch
primitive malignant skeletal spindle cell;primitive malignant skeletal spindle cell;exactmatch
primitive skeletal muscle cell;primitive skeletal muscle cell;exactmatch
cambium layer;cambium layer;exactmatch
malignant rhabdomyoblast;malignant rhabdomyoblast;exactmatch
rectal villous adenoma;rectal villous adenoma;exactmatch
cervix epithelium;cervix epithelium;exactmatch
malignant nasal cavity neoplasm;malignant nasal cavity neoplasm;exactmatch
conventional cardiac rhabdomyoma;conventional cardiac rhabdomyoma;exactmatch
primitive skeletal spindle cell;primitive skeletal spindle cell;exactmatch
neoplastic striated muscle cell with eosinophilic granular cytoplasm;neoplastic striated muscle cell with eosinophilic granular cytoplasm;exactmatch
lung small cell carcinoma;lung oat cell carcinoma;exactmatch
neoplastic large striated muscle cell with clear cytoplasm;neoplastic large striated muscle cell with clear cytoplasm;exactmatch
neoplastic skeletal muscle cell;neoplastic skeletal muscle cell;exactmatch
retinal cavernous hemangioma;cavernous angioma of retina;exactmatch
cervix squamous epithelium;cervix squamous epithelium;exactmatch
renal tubule epithelium;renal tubule epithelium;exactmatch
malignant germ cell tumor;germ cell cancer, nos;exactmatch
renal tubule;renal tubule;exactmatch
benign ovarian cyst;benign cyst of ovary;exactmatch
oropharynx epithelium;oropharynx epithelium;exactmatch
nasopharynx epithelium;nasopharynx epithelium;exactmatch
nasal cavity epithelium;nasal cavity epithelium;exactmatch
metastatic undifferentiated pleomorphic sarcoma;malignant fibrous histiocytoma metastatic;exactmatch
lymphatic vessel endothelium;lymphatic vessel endothelium;exactmatch
laryngeal epithelium;laryngeal epithelium;exactmatch
esophageal epithelium;esophageal epithelium;exactmatch
laryngeal mucosa;laryngeal mucosa;exactmatch
intestinal mucosa;intestinal mucosa;exactmatch
gingival epithelium;gingival epithelium;exactmatch
candidate tumor suppressor gene;candidate tumor suppressor gene;exactmatch
glottis carcinoma;cancer of glottis;exactmatch
gallbladder epithelium;gallbladder epithelium;exactmatch
esophageal squamous epithelium;esophageal squamous epithelium;exactmatch
cerebral convexity meningioma;cerebral convexity meningioma;exactmatch
oral cavity epithelium;oral cavity epithelium;exactmatch
parasagittal meningioma;parasagittal meningioma;exactmatch
stage 0 rectosigmoid cancer ajcc v6 and v7;stage 0 rectosigmoid cancer;exactmatch
prostate well differentiated neuroendocrine tumor;carcinoid tumor of prostate;exactmatch
stage 0 esophageal squamous cell carcinoma ajcc v7;esophageal squamous cell carcinoma stage 0;exactmatch
stage i esophageal squamous cell carcinoma ajcc v7;esophageal squamous cell carcinoma stage i;exactmatch
stage ii esophageal squamous cell carcinoma ajcc v7;esophageal squamous cell carcinoma stage ii;exactmatch
stage iii esophageal squamous cell carcinoma ajcc v7;esophageal squamous cell carcinoma stage iii;exactmatch
stage iv esophageal squamous cell carcinoma ajcc v7;esophageal squamous cell carcinoma stage iv;exactmatch
unresectable pancreatic carcinoma;non-resectable carcinoma of pancreas;exactmatch
stage i rectosigmoid cancer ajcc v6 and v7;stage i rectosigmoid cancer;exactmatch
malignant testicular non-seminomatous germ cell tumor;malignant non-seminomatous germ cell cancer of testis;exactmatch
stage ii rectosigmoid cancer ajcc v6;stage ii rectosigmoid cancer;exactmatch
recurrent lung squamous cell carcinoma;recurrent lung squamous cell carcinoma;exactmatch
ann arbor stage i subdiaphragmatic hodgkin lymphoma;ann arbor stage i subdiaphragmatic hodgkin lymphoma;exactmatch
ann arbor stage i supradiaphragmatic hodgkin lymphoma;ann arbor stage i supradiaphragmatic hodgkin lymphoma;exactmatch
ann arbor stage ii subdiaphragmatic hodgkin lymphoma;ann arbor stage ii subdiaphragmatic hodgkin lymphoma;exactmatch
ann arbor stage ii supradiaphragmatic hodgkin lymphoma;ann arbor stage ii supradiaphragmatic hodgkin lymphoma;exactmatch
recurrent burkitt lymphoma;recurrent burkitt lymphoma;exactmatch
recurrent nasal type extranodal nk/t-cell lymphoma;recurrent angiocentric lymphoma;exactmatch
verrucous lesion;verruca;exactmatch
spinal nerve plexus;spinal nerve plexus;exactmatch
visual manifestations;visual manifestations;exactmatch
cancer other;cancer other;exactmatch
aids-related malignant anal neoplasm;aids-related malignant anal neoplasm;exactmatch
airway obstruction;airway obstruction;exactmatch
erosion;erosion;exactmatch
fluid and electrolyte manifestation;fluid and electrolyte manifestation;exactmatch
body substance discharge;body substance discharge;exactmatch
ventilation or perfusion signs and symptoms;ventilation or perfusion signs and symptoms;exactmatch
thin bands of collagen present;thin bands of collagen present;exactmatch
extrahepatic bile duct sarcoma;extrahepatic bile duct sarcoma;exactmatch
myopericytoma;hemangiopericytoma;exactmatch
sensory manifestations;sensory manifestations;exactmatch
motor manifestations;motor manifestations;exactmatch
alterations in hearing;alterations in hearing;exactmatch
integumentary system signs and symptoms;integumentary system signs and symptoms;exactmatch
genitourinary signs and symptoms;genital or reproductive signs and symptoms;exactmatch
disturbance in bowel function;disturbance in bowel function;exactmatch
recurrent follicular lymphoma;recurrent follicular lymphoma;exactmatch
ann arbor stage iv follicular lymphoma;ann arbor stage iv follicular lymphoma;exactmatch
high grade burkitt-like lymphoma;high grade burkitt-like lymphoma;exactmatch
therapy-related malignant neoplasm;iatrogenic cancer;exactmatch
splenic marginal zone;spleen marginal zone;exactmatch
marginal zone;marginal zone;exactmatch
central nervous system vascular malformation;cns vascular malformation;exactmatch
primary brain stem neoplasm;primary brain stem neoplasm;exactmatch
perineurioma;perineurioma;exactmatch
nerve sheath neoplasm;neoplasm of nerve sheath;exactmatch
cerebral embryonal tumor, not otherwise specified;cerebral embryonal tumor, nos;exactmatch
secondary malignant neoplasm;development of smn;exactmatch
recurrent high grade burkitt-like lymphoma;recurrent high grade burkitt-like lymphoma;exactmatch
adult acute lymphoblastic leukemia;acute lymphoblastic leukemia (all);exactmatch
malignant infratentorial neoplasm;infratentorial neoplasms, malignant;exactmatch
benign infratentorial neoplasm;benign infratentorial neoplasm;exactmatch
malignant supratentorial neoplasm;malignant supratentorial brain tumor;exactmatch
