head;tail;relation
recombinant amphiregulin;ar;exactmatch
enazadrem;enazadrem;exactmatch
ephedrine sulfate;ephedrine sulfate;exactmatch
epetirimod esylate;1-(2-methylpropyl)-1h-imidazo[4,5-c][1,5]naphthyridin-4-amine monoethanesulfonate monohydrate;exactmatch
epetirimod;epetirimod;exactmatch
epalrestat;epalrestat;exactmatch
enprazepine;enprazepine;exactmatch
enolicam;enolicam;exactmatch
englitazone sodium;englitazone sodium;exactmatch
enefexine;enefexine;exactmatch
elzasonan citrate;elzasonan citrate;exactmatch
estrazinol;estrazinol;exactmatch
elzasonan;elzasonan;exactmatch
elsibucol;agi-1096;exactmatch
elarofiban;elarofiban;exactmatch
elacridar hydrochloride;elacridar hydrochloride;exactmatch
efletirizine dihydrochloride;efletirizine dihydrochloride;exactmatch
efetozole;efetozole;exactmatch
efegatran;efegatran;exactmatch
efaproxiral sodium;efaproxiral sodium;exactmatch
esproquin hydrochloride;esproquin hydrochloride;exactmatch
etazolate hydrochloride;etazolate hydrochloride;exactmatch
amitriptylinoxide;amitriptylinoxide;exactmatch
fesoterodine fumarate;2-((1r)-3-(diisopropylamino)-1-phenylpropyl)-4-(hydroxymethyl)phenyl isobutyrate;exactmatch
fosaprepitant;fosaprepitant;exactmatch
fosamprenavir sodium;fosamprenavir sodium;exactmatch
flupirtine maleate;flupirtine maleate;exactmatch
flestolol;flestolol;exactmatch
flavodilol;flavodilol;exactmatch
fingolimod hydrochloride;2-amino-2-[2-(4-octylphenyl)ethyl]propan-1,3-diol hydrochloride;exactmatch
fezolamine fumarate;fezolamine fumarate;exactmatch
fezolamine;fezolamine;exactmatch
fengabine;fengabine;exactmatch
ethaverine hydrochloride;ethaverine hydrochloride;exactmatch
fenclexonium;fenclexonium;exactmatch
faropenem;(+)-(5r,6s)-6-[(1r)-1-hydroxyethyl]-7-oxo-3-[(2r)-tetrahydro-2-furyl]-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid;exactmatch
fanetizole;fanetizole;exactmatch
fandosentan potassium;fandosentan potassium;exactmatch
fandosentan;fandosentan;exactmatch
etryptamine;3-(2-aminobutyl)indole;exactmatch
ethynodiol;ethynodiol;exactmatch
ethonam;ethonam;exactmatch
edaglitazone sodium;edaglitazone sodium;exactmatch
ebalzotan;ebalzotan;exactmatch
droxinavir hydrochloride;3-tert-butyl-1-((2r,3s)-3-((2s)-3,3-dimethyl-2-(2-(methylamino)acetamido)butyramido)-2-hydroxy-4-phenylbutyl)-1-isopentylurea monohydrochloride;exactmatch
azaloxan fumarate;azaloxan fumarate;exactmatch
batebulast;batebulast;exactmatch
batanopride hydrochloride;batanopride hydrochloride;exactmatch
batabulin;2-fluoro-1-methoxy-4-pentafluorophenylsulfonamidobenzene;exactmatch
azumolene;azumolene;exactmatch
azipramine hydrochloride;azipramine hydrochloride;exactmatch
azipramine;azipramine;exactmatch
azidamfenicol;2-azido-n-[(alphar,betar)-beta-hydroxy-alpha-hydroxymethyl-4-nitrophenethyl]acetamide;exactmatch
azanator;azanator;exactmatch
azaclorzine hydrochloride;azaclorzine hydrochloride;exactmatch
dothiepin;dothiepin;exactmatch
avizafone;avizafone;exactmatch
atibeprone;atibeprone;exactmatch
asenapine;asenapine;exactmatch
arecoline hydrobromide;arecoline hydrobromide;exactmatch
apremilast, (+/-)-;apremilast, (+/-)-;exactmatch
ansoxetine;ansoxetine;exactmatch
anamorelin hydrochloride;anamorelin hydrochloride;exactmatch
paraffin;paraffin;exactmatch
bazinaprine;bazinaprine;exactmatch
befuraline;befuraline;exactmatch
benfosformin;benfosformin;exactmatch
binedaline;binedaline;exactmatch
dithiazanine;dithiazanine;exactmatch
dimethisoquin hydrochloride;dimethisoquin hydrochloride;exactmatch
dilmefone;dilmefone;exactmatch
diaplasinin;1-benzyl-3-pentyl-2-[6-(1h-tetrazol-5-ylmethoxy)naphthalen-2-yl]-1h-indole;exactmatch
dexmedetomidine hydrochloride;dexmedetomidine hydrochloride;exactmatch
denibulin hydrochloride;denibulin hydrochloride;exactmatch
denagliptin tosylate;denagliptin tosylate;exactmatch
delapril hydrochloride;delapril hydrochloride;exactmatch
deanol;2-dimethylaminoethanol;exactmatch
dazopride;dazopride;exactmatch
danitracen;danitracen;exactmatch
cloroperone hydrochloride;cloroperone hydrochloride;exactmatch
clevidipine;clevidipine;exactmatch
ciglitazone;ciglitazone;exactmatch
caroxazone;caroxazone;exactmatch
camobucol;agix-4207;exactmatch
brofaromine;brofaromine;exactmatch
fosaprepitant dimeglumine;emend for injection;exactmatch
furegrelate;furegrelate;exactmatch
furtrethonium;furtrethonium;exactmatch
suclofenide;suclofenide;exactmatch
thiambutosine;1-(4-butoxyphenyl)-3-(4-dimethylaminophenyl)thiourea;exactmatch
tetrantoin;spirodon;exactmatch
temafloxacin hydrochloride;temafloxacin hydrochloride;exactmatch
taltrimide;taltrimide;exactmatch
sulfoxone;sulfoxone;exactmatch
sulfamonomethoxine;sulfamonomethoxine;exactmatch
sulfaguanole;enterocura;exactmatch
sulfaclozine;sulfaclozine;exactmatch
siltenzepine;siltenzepine;exactmatch
pruvanserin;pruvanserin;exactmatch
setazindol;setazindol;exactmatch
sepimostat;sepimostat;exactmatch
rolipram;(+/-)-rolipram;exactmatch
rivoglitazone;rivoglitazone;exactmatch
ezogabine;awd21-360;exactmatch
reboxetine;reboxetine;exactmatch
raltegravir;mk-0518;exactmatch
pytamine;pytamine;exactmatch
thiohexamide;1-cyclohexyl-3-(p-(methylthio)phenylsulfonyl)urea;exactmatch
tiacrilast sodium;tiacrilast sodium;exactmatch
tibenelast;tibenelast;exactmatch
tiflucarbine;tiflucarbine;exactmatch
adrenergic antagonist;adrenergic antagonist;exactmatch
penicillamine;.beta.,.beta.-dimethylcysteine;exactmatch
aldose reductase inhibitor;aldehyde reductase 1 inhibitor;exactmatch
zenarestat;zenarestat;exactmatch
zalospirone hydrochloride;zalospirone hydrochloride;exactmatch
vanyldisulfamide;vanyldisulfamide;exactmatch
vaneprim;vaneprim;exactmatch
valproate pivoxil;valproate pivoxil;exactmatch
valopicitabine dihydrochloride;nm-283;exactmatch
trazium esilate;trazium esilate;exactmatch
tolpyrramide;tolpyrramide;exactmatch
tolgabide;tolgabide;exactmatch
tolfamide;benzamide, n-(diaminophosphinyl)-2-methyl-;exactmatch
tiospirone hydrochloride;tiospirone hydrochloride;exactmatch
tilorone hydrochloride;tilorone hydrochloride;exactmatch
tiliquinol;5-methyl-8-hydroxyquinoline;exactmatch
tilbroquinol;7-bromo-5-methylquinolin-8-ol;exactmatch
pruvanserin hydrochloride;pruvanserin hydrochloride;exactmatch
propizepine;propizepine;exactmatch
gaboxadol;gaboxadol;exactmatch
glisolamide;3-isozazolecarboxamide, n-(2-(4-((((cyclohexylamino)carbonyl)amino)sulfonyl)phenyl)ethyl)-5-methyl-;exactmatch
ilepcimide;ilepcimide;exactmatch
ibuprofen lysine;ibuprofen lysine;exactmatch
hexobarbital sodium;hexobarbital sodium;exactmatch
guanisoquin;guanisoquin;exactmatch
glymidine;glymidine;exactmatch
glybuzole;glybuzole;exactmatch
glybuthiazol;glybuthiazol;exactmatch
glisoxepide;glisoxepide;exactmatch
ovarian transitional cell tumor;ovarian transitional cell neoplasm;exactmatch
pramiracetam hydrochloride;pramiracetam hydrochloride;exactmatch
glisentide;1-cyclopentyl-3-((p-(2-(o-anisamido)ethyl)phenyl)sulfonyl)urea;exactmatch
gliquidone;gliquidone;exactmatch
glipalamide;3-methyl-n-(4-methylphenyl)sulfonyl-3,4-dihydropyrazole-2-carboxamide;exactmatch
glicetanile;glicetanile;exactmatch
gepirone hydrochloride;gepirone hydrochloride;exactmatch
gemcabene;ci-1027;exactmatch
ganaxolone;ccd 1042;exactmatch
galdansetron hydrochloride;galdansetron hydrochloride;exactmatch
imazodan hydrochloride;imazodan hydrochloride;exactmatch
ipsapirone hydrochloride;ipsapirone hydrochloride;exactmatch
lecozotan hydrochloride;benzamide, 4-cyano-n-((2r)-2-(4-(2,3-dihydro-1,4-benzodioxin-5-yl)-1-piperazinyl)propyl)-n-2-pyridinyl-, monohydrochloride;exactmatch
levocetirizine dihydrochloride;(2-(4-((r)-(4-chlorophenyl)phenylmethyl)piperazin-1- yl)ethoxy)acetic acid dihydrochloride;exactmatch
pramiconazole;1-{4-[4-(4-{[(2r,4s)-2-(2,4-difluorophenyl)-2-(1h-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)piperazin-1-yl]phenyl}-3-isopropylimidazolidin-2-one;exactmatch
piroxantrone hydrochloride;piroxantrone hydrochloride;exactmatch
piberaline;piberaline;exactmatch
phenoxypropazine;phenoxypropazine;exactmatch
pheneturide;pheneturide;exactmatch
pefloxacin mesylate;pefloxacin mesylate;exactmatch
nomifensine;nomifensine;exactmatch
nitralamine hydrochloride;2-[1-(2-chlorophenyl)-2-nitroethyl]sulfanylethylazanium chloride;exactmatch
netoglitazone;netoglitazone;exactmatch
nafenodone;nafenodone;exactmatch
minalrestat;minalrestat;exactmatch
benign ovarian seromucinous tumor;benign ovarian seromucinous tumor;exactmatch
meprylcaine hydrochloride;meprylcaine hydrochloride;exactmatch
loteprednol;loteprednol;exactmatch
lobenzarit sodium;lobenzarit sodium;exactmatch
lifarizine;lifarizine;exactmatch
lidorestat;3-((4,5,7-triflurobenzothiazol-2-yl)methyl)-1h-indol-1-yl-acetic acid;exactmatch
amotosalen hydrochloride;amotosalen hydrochloride;exactmatch
amifloxacin mesylate;amifloxacin mesylate;exactmatch
imidapril;(s)-3-(n-((s)-1-ethoxycarbonyl-3-phenylpropyl)-l-alanyl)-1-methyl-2-oxoimidazoline-4-carboxylic acid;exactmatch
viola tricolor;viola tricolor whole;exactmatch
eupatorium perfoliatum;common boneset;exactmatch
datura stramonium;datura stramonium whole;exactmatch
collinsonia canadensis;collinsonia canadensis whole;exactmatch
anamirta cocculus;anamirta cocculus whole;exactmatch
erysimum cheiri;cheiranthus;exactmatch
arnica montana flower;arnica montana flower;exactmatch
illicium verum;illicium verum whole;exactmatch
iris versicolor;blue flag iris;exactmatch
viola odorata;viola odorata whole;exactmatch
krameria lappacea;krameria lappacea whole;exactmatch
viburnum opulus;crampbark;exactmatch
verbascum thapsus;common mullein;exactmatch
urtica urens;urtica urens whole;exactmatch
urtica dioica;great nettle;exactmatch
ulex europaeus;furze;exactmatch
thymus vulgaris;garden thyme;exactmatch
thymus serpyllum;creeping thyme;exactmatch
teucrium scorodonia;monochilon cordifolius;exactmatch
malignant testicular neoplasm;malignant neoplasm of testis;exactmatch
levisticum officinale;american lovage;exactmatch
amifloxacin;6-fluoro-1,4-dihydro-1-(methylamino)-7-(4-methyl-1-piperazinyl)-4-oxo-3-quinolinecarboxylic acid;exactmatch
quillifoline;quillifoline;exactmatch
bunaftine;bunaftine;exactmatch
bucromarone;bucromarone;exactmatch
berlafenone;berlafenone;exactmatch
barucainide;barucainide;exactmatch
asocainol;asocainol;exactmatch
ambasilide;ambasilide;exactmatch
alprafenone;alprafenone;exactmatch
alinidine;alinidine;exactmatch
esproquin;esproquin;exactmatch
lomatium dissectum;desert parsley;exactmatch
aceperone;aceperone;exactmatch
abanoquil;abanoquil;exactmatch
betamipron;3-(benzoylamino)propionic acid;exactmatch
pomalidomide;3-amino-n-(2,6-dioxo-3-piperidyl)phthalimide;exactmatch
serenoa;serenoa;exactmatch
ononis repens;common restharrow;exactmatch
olea europaea;common olive;exactmatch
lonicera caprifolium;italian woodbine;exactmatch
strophanthus hispidus;hairy strophanthus;exactmatch
scrophularia nodosa;figwort;exactmatch
salvia officinalis;broadleaf sage;exactmatch
dieffenbachia seguine;dieffenbachia seguine whole;exactmatch
grindelia hirsutula;grindelia hirsutula whole;exactmatch
gratiola officinalis;gratiola officinalis whole;exactmatch
gentianella amarella;annual gentian;exactmatch
fumaria officinalis;common fumitory;exactmatch
eupatorium cannabinum;eupatorium cannabinum whole;exactmatch
equisetum hyemale;dutch rush;exactmatch
equisetum arvense;common horsetail;exactmatch
drosera rotundifolia;drosera rotundifolia whole;exactmatch
oxymetholone;adroyd;exactmatch
rumex crispus;curley dock;exactmatch
cytisus scoparius;cytisus scoparius whole;exactmatch
cynodon dactylon;bermuda grass;exactmatch
cynara scolymus;artichoke;exactmatch
colchicum autumnale;autumn-crocus;exactmatch
cinchona officinalis;cinchona officinalis whole;exactmatch
chimaphila umbellata;chimaphila umbellata whole;exactmatch
chelidonium majus;chelidonium majus whole;exactmatch
ceanothus americanus;ceanothus americanus whole;exactmatch
helianthus annuus;common sunflower;exactmatch
centella asiatica;centella asiatica whole;exactmatch
ilex aquifolium;english holly;exactmatch
juglans regia;english walnut;exactmatch
