head;tail;relation
renal cell carcinoma associated with neuroblastoma;renal cell cancer associated with neuroblastoma;exactmatch
colon leiomyosarcoma;colon leiomyosarcoma;exactmatch
colon tubulovillous adenoma;colon tubulovillous adenoma;exactmatch
colon neuroendocrine tumor g1;carcinoid tumor of colon;exactmatch
colon mucosa-associated lymphoid tissue lymphoma;colon malt lymphoma;exactmatch
colon hodgkin lymphoma;colon hodgkin lymphoma;exactmatch
colon lymphangioma;colon lymphangioma;exactmatch
cecum neuroendocrine tumor g1;caecal carcinoid tumor;exactmatch
benign peripheral nerve granular cell tumor;benign granular cell neoplasm of peripheral nerve;exactmatch
central nervous system hematopoietic neoplasm;cns hematopoietic neoplasm;exactmatch
central nervous system melanocytic neoplasm;cns melanocytic neoplasm;exactmatch
central nervous system melanoma;cns melanoma;exactmatch
central nervous system dermoid cyst;cns dermoid cyst;exactmatch
central nervous system hamartoma;cns hamartoma;exactmatch
appendix mucinous cystadenocarcinoma;appendiceal colloid cystadenocarcinoma;exactmatch
appendix villous adenoma;appendix villous adenoma;exactmatch
appendix lymphoma;appendiceal lymphoma;exactmatch
appendix leiomyoma;appendiceal leiomyoma;exactmatch
cecum lymphoma;cecal lymphoma;exactmatch
colon kaposi sarcoma;colon kaposi sarcoma;exactmatch
colon inflammatory polyp;colon inflammatory polyp;exactmatch
colon juvenile polyp;colon juvenile polyp;exactmatch
cecum villous adenoma;cecal villous adenoma;exactmatch
cecum non-hodgkin lymphoma;cecal non-hodgkin's lymphoma;exactmatch
prostate rhabdomyosarcoma;prostate rhabdomyosarcoma;exactmatch
prostate kaposi sarcoma;kaposi's sarcoma of prostate;exactmatch
prostate stromal sarcoma;prostate stromal sarcoma;exactmatch
prostate embryonal rhabdomyosarcoma;embryonal rhabdomyosarcoma of prostate;exactmatch
prostate leiomyosarcoma;leiomyosarcoma of prostate;exactmatch
colon sarcoma;colon sarcoma;exactmatch
colon lipoma;colon lipoma;exactmatch
prostate angiosarcoma;angiosarcoma of prostate;exactmatch
colon leiomyoma;colon leiomyoma;exactmatch
blood pressure finding;blood pressure;exactmatch
mesenchymal metaplasia;mesenchymal metaplasia;exactmatch
malignant epithelial cells with abundant cytoplasmic neutral lipids present;malignant epithelial cells with abundant cytoplasmic neutral lipids present;exactmatch
acinar cell differentiation;acinar cell differentiation;exactmatch
malignant epithelial cells with abundant clear cytoplasm containing glycogen present;malignant epithelial cells with abundant clear cytoplasm containing glycogen present;exactmatch
sebaceous differentiation;sebaceous differentiation;exactmatch
gastric papillary adenocarcinoma;gastric papillary adenocarcinoma;exactmatch
intracytoplasmic and extracytoplasmic eosinophilic material present;intracytoplasmic and extracytoplasmic eosinophilic material present;exactmatch
adenocarcinoma cell with abundant pale staining cytoplasm;adenocarcinoma cell with abundant pale staining cytoplasm;exactmatch
fibrotic stroma with finger-like projections present;fibrotic stroma with finger-like projections present;exactmatch
sarcomatous component present;sarcomatous component;exactmatch
intracanalicular growth pattern;intracanalicular growth pattern;exactmatch
gastric tubular adenocarcinoma;gastric tubular adenocarcinoma;exactmatch
gastric adenosquamous carcinoma;adenosquamous carcinoma of stomach;exactmatch
gastric squamous cell carcinoma;gastric (stomach) squamous cell cancer;exactmatch
undifferentiated gastric carcinoma;anaplastic carcinoma of stomach;exactmatch
adult intracranial neoplasm;adult intracranial neoplasm;exactmatch
cauda equina neoplasm;cauda equina neoplasm;exactmatch
gastric hemangioma;angioma of stomach;exactmatch
gastric lymphangioma;gastric lymphangioma;exactmatch
benign gastric granular cell tumor;benign gastric granular cell neoplasm;exactmatch
malignant gastric granular cell tumor;malignant gastric granular cell neoplasm;exactmatch
malignant gastric germ cell tumor;malignant gastric germ cell neoplasm;exactmatch
gastric soft tissue neoplasm;gastric soft tissue neoplasm;exactmatch
gastric liposarcoma;gastric liposarcoma;exactmatch
colon squamous cell carcinoma;colon epidermoid carcinoma;exactmatch
colon adenosquamous carcinoma;adenosquamous carcinoma of colon;exactmatch
prostate myeloid sarcoma;extramedullary myeloid neoplasm of prostate;exactmatch
gastric kaposi sarcoma;gastric kaposi sarcoma;exactmatch
columnar cell lesion of the breast;columnar cell lesion of breast;exactmatch
eccrine sweat gland hamartoma;eccrine sweat gland hamartoma;exactmatch
cutaneous lipomatous neoplasm;cutaneous lipomatous neoplasm;exactmatch
temporal lobe neoplasm;neoplasm of temporal lobe;exactmatch
skin nodulo-ulcerative basal cell carcinoma;nodulo-ulcerative basal cell carcinoma;exactmatch
benign dermal schwannoma;benign dermal neurilemmoma;exactmatch
frontal lobe neoplasm;frontal lobe neoplasm;exactmatch
parietal lobe neoplasm;neoplasm of parietal lobe;exactmatch
occipital lobe neoplasm;neoplasm of occipital lobe;exactmatch
cutaneous undifferentiated pleomorphic sarcoma;cutaneous malignant fibrous histiocytoma;exactmatch
stage i uveal melanoma ajcc v7;stage i malignant melanoma of uvea;exactmatch
stage ii uveal melanoma ajcc v7;stage ii malignant melanoma of uvea;exactmatch
stage iii uveal melanoma ajcc v7;stage iii malignant melanoma of uvea;exactmatch
stage iv uveal melanoma ajcc v7;stage iv malignant melanoma of uvea;exactmatch
stage i skin cancer;carcinoma of skin stage i;exactmatch
pancoast syndrome;pancoast syndrome;exactmatch
asbestos exposure;asbestos exposure;exactmatch
