head;tail;relation
aarskog syndrome, autosomal dominant;aarskog syndrome, autosomal dominant;exactmatch
glioma susceptibility 3;glioma susceptibility 3;exactmatch
bronchiectasis with or without elevated sweat chloride 2;bronchiectasis with or without elevated sweat chloride 2;exactmatch
follicular lymphoma, susceptibility to, 1;follicular lymphoma, susceptibility to, 1;exactmatch
schizophrenia 13;schizophrenia 13;exactmatch
chromosome 19q13.11 deletion syndrome, distal;chromosome 19q13.11 deletion syndrome, distal;exactmatch
glycogen storage disease ixc;glycogen storage disease ixc;exactmatch
glioma susceptibility 2;glioma susceptibility 2;exactmatch
glioma susceptibility 5;glioma susceptibility 5;exactmatch
neuroblastoma, susceptibility to, 5;neuroblastoma, susceptibility to, 5;exactmatch
glioma susceptibility 6;glioma susceptibility 6;exactmatch
glioma susceptibility 7;glioma susceptibility 7;exactmatch
glioma susceptibility 8;glioma susceptibility 8;exactmatch
hearing loss, noise-induced, susceptibility to;hearing loss, noise-induced, susceptibility to;exactmatch
pituitary hormone deficiency, combined or isolated, 1;pituitary hormone deficiency, combined or isolated, 1;exactmatch
atrial fibrillation, familial, 8;atrial fibrillation, familial, 8;exactmatch
neuroblastoma, susceptibility to, 6;neuroblastoma, susceptibility to, 6;exactmatch
neuroblastoma, susceptibility to, 4;neuroblastoma, susceptibility to, 4;exactmatch
basal cell carcinoma, susceptibility to, 3;basal cell carcinoma, susceptibility to, 3;exactmatch
immunodeficiency 83, susceptibility to viral infections;encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 2;exactmatch
optic atrophy 7 with or without auditory neuropathy;optic atrophy 7 with or without auditory neuropathy;exactmatch
spermatogenic failure 7;male infertility, nonsyndromic, autosomal recessive;exactmatch
emery-dreifuss muscular dystrophy 4, autosomal dominant;emery-dreifuss muscular dystrophy 4 with variable features;exactmatch
emery-dreifuss muscular dystrophy 5, autosomal dominant;emery-dreifuss muscular dystrophy 5, autosomal dominant;exactmatch
palmoplantar keratoderma, nonepidermolytic, focal 1;focal nonepidermolytic palmoplantar keratoderma;exactmatch
encephalocraniocutaneous lipomatosis;encephalocraniocutaneous lipomatosis;exactmatch
attention deficit-hyperactivity disorder, susceptibility to, 7;adhd7;exactmatch
neuroblastoma, susceptibility to, 3;neuroblastoma, susceptibility to, 3;exactmatch
santos syndrome;fibular agenesis/hypoplasia, oligodactylous clubfeet, and anonychia/nail hypoplasia syndrome;exactmatch
 iia 1 diabetes mellitus 24; iia 1 diabetes mellitus 24;exactmatch
biliary cirrhosis, primary, 2;biliary cirrhosis, primary, 2;exactmatch
biliary cirrhosis, primary, 3;biliary cirrhosis, primary, 3;exactmatch
lymphoproliferative syndrome 1;lymphoproliferative syndrome 1;exactmatch
neuroblastoma, susceptibility to, 2;neuroblastoma with hirschsprung disease;exactmatch
basal cell carcinoma, susceptibility to, 2;basal cell carcinoma, susceptibility to, 2;exactmatch
epilepsy, idiopathic generalized, susceptibility to, 10;epilepsy, idiopathic generalized, susceptibility to, 10;exactmatch
vertigo, benign recurrent, 2;vertigo, benign recurrent, 2;exactmatch
cone dystrophy 4;achromatopsia 5;exactmatch
atrial septal defect 6;atrial septal defect 6;exactmatch
pelvic organ prolapse, susceptibility to, 2;pelvic organ prolapse, susceptibility to, 2;exactmatch
