head;tail;relation
ataxia-telangiectasia;louis-bar syndrome;exactmatch
white-sutton syndrome;intellectual disability-microcephaly-strabismus-behavioral abnormalities syndrome;exactmatch
felty syndrome;splenomegaly-neutropenia-rheumatoid arthritis syndrome;exactmatch
demyelinating hereditary motor and sensory neuropathy;demyelinating hmsn;exactmatch
combined immunodeficiency due to tfrc deficiency;cid due to tfrc deficiency;exactmatch
axonal hereditary motor and sensory neuropathy;axonal hmsn;exactmatch
hereditary pediatric behã§et-like disease;behã§et-like disease due to ha20;exactmatch
erythrokeratodermia-cardiomyopathy syndrome;ekc syndrome;exactmatch
bves-related limb-girdle muscular dystrophy;autosomal recessive limb-girdle muscular dystrophy-cardiac arrhythmia syndrome;exactmatch
joubert syndrome;cpd iv;exactmatch
rare congenital anomaly of ventricular septum;congenital anomaly of interventricular communication;exactmatch
jeune syndrome;asphyxiating thoracic dystrophy of the newborn;exactmatch
isosporiasis;cystoisosporiasis;exactmatch
proximal renal tubular acidosis;renal tubular acidosis type 2;exactmatch
familial cold urticaria;fcas;exactmatch
hereditary papillary renal cell carcinoma;hprcc;exactmatch
lysinuric protein intolerance;hyperdibasic aminoaciduria;exactmatch
x-linked agammaglobulinemia;btk-deficiency;exactmatch
hereditary fructose intolerance;hereditary fructose-1-phosphate aldolase deficiency;exactmatch
severe primary trimethylaminuria;tmau;exactmatch
slc39a8-cdg;cdg syndrome type iin;exactmatch
intermediate charcot-marie-tooth disease;intermediate cmt;exactmatch
pmp2-related charcot-marie-tooth disease type 1;pmp2-related cmt1;exactmatch
kid syndrome;ichthyosis hystrix rheydt type;exactmatch
isolated constitutional thrombocytopenia;constitutional thrombocytopenia without extra-hematopoietic manifestations;exactmatch
hereditary sensory and autonomic neuropathy type 8;hsan8;exactmatch
combined oxidative phosphorylation defect type 30;coxpd30;exactmatch
combined oxidative phosphorylation defect type 29;coxpd29;exactmatch
kallmann syndrome;congenital hypogonadotropic hypogonadism with anosmia;exactmatch
palatal anomalies-widely spaced teeth-facial dysmorphism-developmental delay syndrome;palatal anomalies-multiple diastemata-facial dysmorphism-developmental delay syndrome;exactmatch
autosomal recessive mendelian susceptibility to mycobacterial diseases due to complete rorgamma receptor deficiency;autosomal recessive msmd due to complete rorgamma receptor defiency;exactmatch
skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome;kosaki overgrowth syndrome;exactmatch
pmp22-rai1 contiguous gene duplication syndrome;17p11.2p12 microduplication syndrome;exactmatch
cytosolic phospholipase-a2 alpha deficiency associated bleeding disorder;pla2g4a-related platelet dysfunction;exactmatch
il21-related infantile inflammatory bowel disease;il21-related infantile ibd;exactmatch
primary condylar hyperplasia;type 1 condylar hyperplasia;exactmatch
combined oxidative phosphorylation defect type 27;coxpd27;exactmatch
col4a1 or col4a2-related cerebral small vessel disease with hemorrhagic tendancy;col4a1 or col4a2-related cerebral angiopathy with hemorrhagic tendancy;exactmatch
col4a1 or col4a2-related cerebral small vessel disease with ischemic tendancy;col4a1 or col4a2-related cerebral angiopathy with ischemic tendancy;exactmatch
col4a1 or col4a2-related cerebral small vessel disease;col4a1 or col4a2-related cerebral angiopathy;exactmatch
pontine autosomal dominant microangiopathy with leukoencephalopathy;padmal;exactmatch
nodular fasciitis;pseudosarcomatous fasciitis;exactmatch
combined oxidative phosphorylation defect type 26;coxpd26;exactmatch
ccdc115-cdg;cdg syndrome type iio;exactmatch
colobomatous macrophthalmia-microcornea syndrome;macom syndrome;exactmatch
phace syndrome;phaces syndrome;exactmatch
autosomal recessive spastic paraplegia type 74;spg74;exactmatch
epidermolysis bullosa acquisita;acquired epidermolysis bullosa;exactmatch
mucous membrane pemphigoid;cicatricial pemphigoid;exactmatch
familial cavitary optic disc anomaly;familial coda;exactmatch
paracetamol poisoning;acetaminophen poisoning;exactmatch
acquired methemoglobinemia;drug-induced methemoglobinemia;exactmatch
cog6-cgd;cdg syndrome type iil;exactmatch
nek9-related lethal skeletal dysplasia;lethal skeletal dysplasia-fetal akinesia-contractures-thoracic dysplasia-pulmonary hypoplasia syndrome;exactmatch
catastrophic antiphospholipid syndrome;caps;exactmatch
benta disease;b-cell expansion with nf-kb and t-cell anergy disease;exactmatch
multifocal lymphangioendotheliomatosis-thrombocytopenia syndrome;cutaneovisceral angiomatosis-thrombocytopenia syndrome;exactmatch
intellectual disability syndrome due to a dyrk1a point mutation;dyrk1a-related intellectual disability syndrome due to a point mutation;exactmatch
dyrk1a-related intellectual disability syndrome;dyrk1a syndrome;exactmatch
short stature-brachydactyly-obesity-global developmental delay syndrome;sbidds;exactmatch
spastic paraplegia-severe developmental delay-epilepsy syndrome;spprs syndrome;exactmatch
incontinentia pigmenti;bloch-siemens syndrome;exactmatch
paroxysmal extreme pain disorder;familial rectal pain;exactmatch
primary central nervous system lymphoma;pcnsl;exactmatch
recessive x-linked ichthyosis;rxli;exactmatch
lathosterolosis;sterol c5-desaturase deficiency;exactmatch
congenital plasminogen activator inhibitor type 1 deficiency;congenital pai-1 deficiency;exactmatch
hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome;hpfh-beta-thalassemia syndrome;exactmatch
class i glucose-6-phosphate dehydrogenase deficiency;class i g6pd deficiency;exactmatch
lims2-related limb-girdle muscular dystrophy;autosomal recessive limb-girdle muscular dystrophy type 2w;exactmatch
chronic enteropathy associated with slco2a1 gene;ceas;exactmatch
cryptogenic multifocal ulcerous stenosing enteritis;cmuse;exactmatch
cerebral arteriovenous malformation;intracranial arteriovenous malformation;exactmatch
tubulinopathy-associated dysgyria;brain stem asymmetry-superior cerebellar and basal ganglia dysplasia syndrome;exactmatch
non-acquired combined pituitary hormone deficiency;congenital combined pituitary hormone deficiency;exactmatch
smarca4-deficient sarcoma of thorax;smarca4-deficient thoracic sarcoma;exactmatch
vps11-related autosomal recessive hypomyelinating leukodystrophy;vps11-related autosomal recessive hypomyelinating leukoencephalopathy;exactmatch
seizures-scoliosis-macrocephaly syndrome;ssm syndrome;exactmatch
acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome;autosomal recessive spinocerebellar ataxia type 21;exactmatch
char syndrome;patent ductus arteriosus with facial dysmorphism and abnormal fifth digits;exactmatch
neonatal severe cardiopulmonary failure due to mitochondrial methylation defect;coxpd28;exactmatch
autosomal recessive charcot-marie-tooth disease type 2x;arcmt2x;exactmatch
autosomal dominant charcot-marie-tooth disease type 2z;autosomal dominant charcot-marie-tooth disease type 2 due to morc2 mutation;exactmatch
autosomal recessive spastic paraplegia type 77;spg77;exactmatch
martinique crinkled retinal pigment epitheliopathy;mcrpe;exactmatch
tmem199-cdg;cdg syndrome type iip;exactmatch
euthyroid graves orbitopathy;euthyroid graves ophthalmopathy;exactmatch
exercise-induced malignant hyperthermia;exertional heat stroke;exactmatch
congenital bilateral absence of vas deferens;congenital bilateral agenesis of vas deferens;exactmatch
progressive familial intrahepatic cholestasis type 5;nr1h4 deficiency;exactmatch
progressive familial intrahepatic cholestasis type 4;pfic4;exactmatch
myo5b-related progressive familial intrahepatic cholestasis;myo5b deficiency;exactmatch
vulvar squamous cell carcinoma;squamous cell carcinoma of the vulva;exactmatch
diaph1-related sensorineural hearing loss-thrombocytopenia syndrome;diaph1-related sensorineural deafness-thrombocytopenia syndrome;exactmatch
retinitis pigmentosa-hearing loss-premature aging-short stature-facial dysmorphism syndrome;retinitis pigmentosa-deafness-premature aging-short stature-facial dysmorphism syndrome;exactmatch
mirage syndrome;myelodysplasia-infection-restriction of growth-adrenal hypoplasia-genital anomalies-enteropathy syndrome;exactmatch
idiopathic pleuroparenchymal fibroelastosis;ippfe;exactmatch
extracranial carotid artery aneurysm;ecaa;exactmatch
vulvar carcinoma;carcinoma of vulva;exactmatch
keratoderma hereditarium mutilans;mutilating keratoderma of vohwinkel;exactmatch
achromatopsia;achm;exactmatch
familial keratoacanthoma;hereditary keratoacanthoma;exactmatch
dentinogenesis imperfecta;dgi;exactmatch
igg4-related retroperitoneal fibrosis;idiopathic retroperitoneal fibrosis;exactmatch
penile agenesis;aphallia;exactmatch
focal myositis;focal nodular myositis;exactmatch
telo2-related intellectual disability-neurodevelopmental disorder;you-hoover-fong syndrome;exactmatch
early-onset epilepsy-intellectual disability-brain anomalies syndrome;congenital disorder of glycosylation due to pigg deficiency;exactmatch
transketolase deficiency;short stature-developmental delay-congenital heart defect syndrome;exactmatch
autosomal recessive spastic paraplegia type 76;spg76;exactmatch
congenital amyoplasia;amyoplasia congenita;exactmatch
vulvar basal cell carcinoma;basal cell carcinoma of vulva;exactmatch
vulvar adenocarcinoma;adenocarcinoma of the vulva;exactmatch
infantile-onset generalized dyskinesia with orofacial involvement;infantile-onset orofacial-trunk-limbs dyskinesia;exactmatch
diffuse intrinsic pontine glioma;dipg;exactmatch
menstrual cycle-dependent periodic fever;luteal-phase-dependent febrile episode;exactmatch
phyllodes tumor of the prostate;cystic epithelial-stromal tumors of the prostate;exactmatch
lichen amyloidosis;amyloid lichen;exactmatch
childhood-onset basal ganglia degeneration syndrome;lenk-ploski syndrome;exactmatch
spinocerebellar ataxia type 43;sca43;exactmatch
mme-related autosomal dominant charcot marie tooth disease type 2;mme-related autosomal dominant cmt2;exactmatch
epidermolytic nevus;epidermal nevus with epidermolytic hyperkeratosis;exactmatch
c12orf65-related combined oxidative phosphorylation defect;c12orf65-related coxpd;exactmatch
ocular anomalies-axonal neuropathy-developmental delay syndrome;harel-yoon syndrome;exactmatch
transgrediens et progrediens palmoplantar keratoderma;greither disease;exactmatch
even-plus syndrome;epiphysial-vertebral-ear dysplasia-nose-plus associated findings syndrome;exactmatch
omphalocele-diaphragmatic hernia-cardiovascular anomalies-radial ray defect syndrome;gershoni-baruch syndrome;exactmatch
kyphoscoliosis-lateral tongue atrophy-hereditary spastic paraplegia syndrome;kyphoscoliosis-lateral tongue atrophy-hsp syndrome;exactmatch
congenital agenesis of the scrotum;congenital absence of the scrotum;exactmatch
congenital labioscrotal agenesis-cerebellar malformation-corneal dystrophy-facial dysmorphism syndrome;congenital agenesis of labia majora or scrotum-cerebellar malformation-corneal dystrophy-facial dysmorphism syndrome;exactmatch
c11orf73-related autosomal recessive hypomyelinating leukodystrophy;c11orf73-related autosomal recessive hypomyelinating leukoencephalopathy;exactmatch
9q33.3q34.11 microdeletion syndrome;del(9)(q33.3q34.11);exactmatch
charcot-marie-tooth disease type 2t;ar-cmt2t;exactmatch
six2-related frontonasal dysplasia;six2-related fnd;exactmatch
