head;tail;relation
angiolymphoid hyperplasia with eosinophilia (disorder);epithelioid hemangioma;exactmatch
endometrial stromal sarcoma (disorder);endometrioid stromal sarcoma;exactmatch
juvenile angiofibroma of nasopharynx (disorder);nasopharyngeal angiofibroma;exactmatch
deep histiocytoma (morphologic abnormality);solitary reticulohistiocytoma;exactmatch
acute monoblastic and monocytic leukemia (morphologic abnormality);acute monoblastic and monocytic leukemia;exactmatch
lobular carcinoma (morphologic abnormality);breast lobular carcinoma;exactmatch
mixed medullary-papillary carcinoma (morphologic abnormality);thyroid gland mixed medullary and follicular cell carcinoma;exactmatch
neoplasm of nasal cavity (disorder);nasal cavity neoplasm;exactmatch
intestinal t-cell lymphoma (morphologic abnormality);intestinal t-cell lymphoma;exactmatch
nevus of iris (disorder);iris nevus;exactmatch
sarcoma of vulva (disorder);vulvar sarcoma;exactmatch
seminoma, no international classification of diseases for oncology subtype (morphologic abnormality);testicular seminoma;exactmatch
primary malignant neoplasm of oropharynx (disorder);malignant oropharyngeal neoplasm;exactmatch
t-cell large granular lymphocytic leukemia (morphologic abnormality);t-cell large granular lymphocyte leukemia;exactmatch
neoplasm of cornea (disorder);corneal neoplasm;exactmatch
benign neoplasm of muscle (disorder);benign muscle neoplasm;exactmatch
mucoepidermoid carcinoma of skin (disorder);mucoepidermoid skin carcinoma;exactmatch
glioma of brainstem (disorder);brain stem glioma;exactmatch
malignant lymphoma - small cleaved cell (disorder);non-hodgkin lymphoma;exactmatch
melanotic neurofibroma (morphologic abnormality);melanotic neurofibroma;exactmatch
adenoid cystic carcinoma of cervix uteri (disorder);cervical adenoid cystic carcinoma;exactmatch
multiple self-healing epithelioma of ferguson-smith (disorder);multiple self healing epithelioma of ferguson-smith;exactmatch
neoplasm of choroid (disorder);choroid neoplasm;exactmatch
chondromyxoid fibroma (morphologic abnormality);chondromyxoid fibroma;exactmatch
malignant pheochromocytoma (morphologic abnormality);malignant adrenal gland pheochromocytoma;exactmatch
adult t-cell leukemia/lymphoma (morphologic abnormality);adult t-cell leukemia/lymphoma;exactmatch
vulval intraepithelial neoplasia (disorder);vulvar intraepithelial neoplasia;exactmatch
brenner tumor, borderline malignancy (morphologic abnormality);borderline ovarian brenner tumor/atypical proliferative ovarian brenner tumor;exactmatch
neoplasm of endocrine pancreas (disorder);pancreatic neuroendocrine neoplasm;exactmatch
primary cutaneous t-cell lymphoma (disorder);primary cutaneous t-cell non-hodgkin lymphoma;exactmatch
low grade cervical glandular intraepithelial neoplasia (disorder);low grade cervical glandular intraepithelial neoplasia;exactmatch
squamous cell carcinoma of anal margin (disorder);anal squamous cell carcinoma;exactmatch
intraneural perineurioma (disorder);intraneural perineurioma;exactmatch
adenoma, no subtype (morphologic abnormality);adenoma;exactmatch
neoplasm of spinal cord (disorder);spinal cord neoplasm;exactmatch
differentiated penile intraepithelial neoplasia (disorder);differentiated (simplex) penile intraepithelial neoplasia;exactmatch
carcinoma of sublingual gland (disorder);sublingual gland carcinoma;exactmatch
cavernous hemangioma of liver (disorder);liver cavernous hemangioma;exactmatch
sertoli-leydig cell tumor, intermediate differentiation, with heterologous elements (morphologic abnormality);moderately differentiated ovarian sertoli-leydig cell tumor, variant with heterologous elements;exactmatch
nephrogenic adenofibroma (morphologic abnormality);metanephric adenofibroma;exactmatch
thyroid follicular adenoma (disorder);thyroid gland follicular adenoma;exactmatch
malignant tumor of lymphoid, hemopoietic and/or related tissue (disorder);hematopoietic and lymphoid cell neoplasm;exactmatch
fibromatosis colli (disorder);fibromatosis colli;exactmatch
benign neoplasm of sphenoidal sinus (disorder);benign sphenoid sinus neoplasm;exactmatch
cystadenocarcinoma of pancreas (disorder);pancreatic cystadenocarcinoma;exactmatch
intraductal papillary adenocarcinoma with invasion (morphologic abnormality);breast papillary ductal carcinoma in situ with invasion;exactmatch
spindle cell nevus (morphologic abnormality);spindle cell nevus;exactmatch
papillary adenoma (morphologic abnormality);glandular papilloma;exactmatch
hodgkin lymphoma, nodular sclerosis, cellular phase (morphologic abnormality);nodular sclerosis classic hodgkin lymphoma, cellular phase;exactmatch
acute eosinophilic leukemia (disorder);acute eosinophilic leukemia;exactmatch
lymphoma of retina (disorder);primary retinal non-hodgkin lymphoma;exactmatch
mixed glioma (morphologic abnormality);oligoastrocytoma, not otherwise specified;exactmatch
rapidly involuting congenital hemangioma (morphologic abnormality);rapidly involuting congenital hemangioma;exactmatch
angiomyxoma (disorder);myxoma;exactmatch
embryonal rhabdomyosarcoma (morphologic abnormality);embryonal rhabdomyosarcoma;exactmatch
follicular non-hodgkin's mixed small cleaved and large cell lymphoma (disorder);grade 2 follicular lymphoma;exactmatch
malignant triton tumor (disorder);malignant triton tumor;exactmatch
eccrine ductal carcinoma of skin (disorder);ductal eccrine adenocarcinoma;exactmatch
odontogenic ghost cell neoplasm (morphologic abnormality);dentinogenic ghost cell tumor;exactmatch
papillary and follicular adenocarcinoma (morphologic abnormality);thyroid gland papillary and follicular carcinoma;exactmatch
primary malignant neoplasm of respiratory tract (disorder);malignant respiratory system neoplasm;exactmatch
fibroma of lung (disorder);lung fibroma;exactmatch
papillary transitional cell carcinoma, non-invasive (morphologic abnormality);non-invasive papillary transitional cell carcinoma;exactmatch
adenocarcinoma in villous adenoma (morphologic abnormality);adenocarcinoma in villous adenoma;exactmatch
neoplasm of peripheral nerve (disorder);peripheral nervous system neoplasm;exactmatch
pleomorphic fibroma (disorder);pleomorphic fibroma;exactmatch
acute myeloid leukemia, minimal differentiation (morphologic abnormality);acute myeloid leukemia with minimal differentiation;exactmatch
basal cell carcinoma with follicular differentiation (morphologic abnormality);skin follicular basal cell carcinoma;exactmatch
benign cerebral tumor (disorder);benign cerebral neoplasm;exactmatch
neoplasm of cecum (disorder);cecum neoplasm;exactmatch
melanotic neuroectodermal tumor (morphologic abnormality);melanotic neuroectodermal tumor;exactmatch
primary bone lymphoma (disorder);primary bone lymphoma;exactmatch
hemangioma of conjunctiva (disorder);conjunctival hemangioma;exactmatch
glomus jugulare tumor (morphologic abnormality);jugulotympanic paraganglioma;exactmatch
granular cell carcinoma (morphologic abnormality);granular cell carcinoma;exactmatch
malignant germ cell neoplasm of heart (disorder);malignant cardiac germ cell tumor;exactmatch
microcystic adnexal carcinoma of skin (disorder);microcystic adnexal carcinoma;exactmatch
hepatocellular carcinoma, scirrhous (morphologic abnormality);scirrhous hepatocellular carcinoma;exactmatch
b-cell acute lymphoblastic leukemia (disorder);burkitt leukemia;exactmatch
hydroa vacciniforme-like lymphoma (morphologic abnormality);hydroa vacciniforme-like lymphoproliferative disorder;exactmatch
sessile serrated adenoma (morphologic abnormality);serrated lesions and polyps;exactmatch
langerhans cell histiocytosis, multifocal (morphologic abnormality);langerhans cell histiocytosis;exactmatch
fibroblastic reticular cell tumor (morphologic abnormality);fibroblastic reticular cell tumor;exactmatch
malignant mesothelioma of pleura (disorder);pleural malignant mesothelioma;exactmatch
lymphangiosarcoma (disorder);lymphangiosarcoma;exactmatch
leukoplakia (morphologic abnormality);leukoplakia;exactmatch
pseudolymphoma (disorder);pseudolymphoma;exactmatch
mycosis fungoides (morphologic abnormality);mycosis fungoides;exactmatch
benign neoplasm of buccal mucosa (disorder);benign buccal mucosa neoplasm;exactmatch
malignant tumor of supraglottis (disorder);malignant supraglottis neoplasm;exactmatch
refractory anemia with excess blasts-1 (disorder);myelodysplastic syndrome with excess blasts-1;exactmatch
squamous cell carcinoma in situ of skin (disorder);skin squamous cell carcinoma in situ;exactmatch
gastrointestinal stromal tumor of stomach (disorder);gastric gastrointestinal stromal tumor;exactmatch
adenoid cystic carcinoma of oropharynx (disorder);oropharyngeal adenoid cystic carcinoma;exactmatch
null cell pituitary adenoma (morphologic abnormality);non-functioning pituitary gland neoplasm;exactmatch
malignant tumor of salivary gland (disorder);malignant salivary gland neoplasm;exactmatch
papillary cystadenoma (morphologic abnormality);papillary cystadenoma;exactmatch
verrucous keratotic hemangioma (morphologic abnormality);verrucous hemangioma;exactmatch
intraductal papillary mucinous adenoma of pancreas (disorder);pancreatic intraductal papillary-mucinous neoplasm, low grade;exactmatch
benign germ cell neoplasm (morphologic abnormality);benign germ cell tumor;exactmatch
carcinoma of male breast (disorder);male breast carcinoma;exactmatch
diffuse astrocytoma (morphologic abnormality);diffuse astrocytoma;exactmatch
primary hepatic neuroendocrine carcinoma (disorder);liver neuroendocrine carcinoma;exactmatch
giant cell and spindle cell carcinoma (morphologic abnormality);giant cell and spindle cell carcinoma;exactmatch
juvenile aponeurotic fibroma (disorder);calcifying aponeurotic fibroma;exactmatch
diffuse non-hodgkin's lymphoma lugano stage i (disorder);ann arbor stage i diffuse large b-cell lymphoma;exactmatch
giant pigmented nevus (morphologic abnormality);giant congenital nevus;exactmatch
chromophobe adenoma (morphologic abnormality);pituitary gland chromophobe adenoma;exactmatch
dysplastic gangliocytoma of cerebellum (lhermitte-duclos) (morphologic abnormality);dysplastic cerebellar gangliocytoma;exactmatch
malignant tumor of pyriform fossa (disorder);malignant pyriform fossa neoplasm;exactmatch
eccrine epithelioma (morphologic abnormality);microcystic adnexal carcinoma;exactmatch
recurrent respiratory papillomatosis (disorder);recurrent respiratory papillomatosis;exactmatch
low grade appendiceal mucinous neoplasm (morphologic abnormality);low grade appendix mucinous neoplasm;exactmatch
secondary malignant neoplasm of pancreas (disorder);metastatic malignant neoplasm in the pancreas;exactmatch
leiomyosarcoma of small intestine (disorder);small intestinal leiomyosarcoma;exactmatch
neoplasm of cardiovascular system (disorder);cardiovascular neoplasm;exactmatch
primary chondrosarcoma of bone (disorder);primary central chondrosarcoma;exactmatch
myeloid leukemia, no international classification of diseases for oncology subtype (morphologic abnormality);atypical chronic myeloid leukemia, bcr-abl1 negative;exactmatch
carcinoma of gallbladder (disorder);gallbladder carcinoma;exactmatch
myxosarcoma (morphologic abnormality);myxosarcoma;exactmatch
hepatocellular carcinoma, spindle cell variant (morphologic abnormality);sarcomatoid hepatocellular carcinoma;exactmatch
atypical carcinoid tumor (morphologic abnormality);atypical carcinoid tumor;exactmatch
paget's disease, mammary (morphologic abnormality);breast paget disease;exactmatch
tumor of follicular infundibulum (disorder);tumor of the follicular infundibulum;exactmatch
olfactory neuroblastoma (disorder);paranasal sinus olfactory neuroblastoma;exactmatch
neoplasm of glossopharyngeal nerve (disorder);glossopharyngeal nerve neoplasm;exactmatch
benign odontoma (morphologic abnormality);odontoma;exactmatch
intrapulmonary teratoma (disorder);lung teratoma;exactmatch
adenocarcinoma of rectum (disorder);rectal adenocarcinoma;exactmatch
papillary renal cell carcinoma (morphologic abnormality);papillary renal cell carcinoma;exactmatch
primary malignant neoplasm of pineal gland (disorder);malignant pineal region neoplasm;exactmatch
myeloid leukemia associated with down syndrome (morphologic abnormality);myeloid leukemia associated with down syndrome;exactmatch
urticaria pigmentosa (disorder);urticaria pigmentosa/maculopapular cutaneous mastocytosis;exactmatch
tenosynovial giant cell tumor, diffuse (morphologic abnormality);tenosynovial giant cell tumor, diffuse type;exactmatch
tumor of dermis (navigational concept);dermal neoplasm;exactmatch
dermatofibroma, no international classification of diseases for oncology subtype (morphologic abnormality);subepidermal nodular fibrosis;exactmatch
apocrine adenoma (morphologic abnormality);tubular apocrine adenoma;exactmatch
benign neoplastic disease (disorder);benign neoplasm;exactmatch
leukoplakia of tongue (disorder);leukoplakia of tongue;exactmatch
renal cell carcinoma, chromophobe cell (morphologic abnormality);chromophobe renal cell carcinoma;exactmatch
malignant tumor of head and/or neck (disorder);malignant head and neck neoplasm;exactmatch
malignant cylindroma of skin (morphologic abnormality);cylindrocarcinoma;exactmatch
follicular lymphoma grade 3a (disorder);grade 3a follicular lymphoma;exactmatch
malignant lymphoma, mixed lymphocytic-histiocytic, nodular (disorder);grade 2 follicular lymphoma;exactmatch
lymphoma of small intestine (disorder);small intestinal lymphoma;exactmatch
pseudomyogenic (epithelioid sarcoma-like) hemangioendothelioma (morphologic abnormality);pseudomyogenic hemangioendothelioma;exactmatch
carcinoma in situ of cecum (disorder);cecum carcinoma in situ;exactmatch
chordoid glioma (disorder);chordoid glioma of the third ventricle;exactmatch
dermoid cyst of skin (disorder);dermoid cyst of the skin;exactmatch
neuroma (excluding acoustic) (morphologic abnormality);neuroma;exactmatch
gastrinoma (disorder);gastrin-producing neuroendocrine tumor;exactmatch
primary malignant neoplasm of tongue (disorder);malignant tongue neoplasm;exactmatch
retinoma (disorder);retinocytoma;exactmatch
alveolar rhabdomyosarcoma (morphologic abnormality);alveolar rhabdomyosarcoma;exactmatch
malignant tumor of ureter (disorder);malignant ureter neoplasm;exactmatch
benign neoplasm of eye (disorder);benign eye neoplasm;exactmatch
pituitary adenoma (disorder);pituitary gland adenoma;exactmatch
cavernous hemangioma of retina (disorder);retinal cavernous hemangioma;exactmatch
pineoblastoma (morphologic abnormality);pineoblastoma;exactmatch
orbital lymphoma (disorder);orbit lymphoma;exactmatch
secondary malignant neoplasm of hypopharynx (disorder);metastatic malignant neoplasm in the hypopharynx;exactmatch
refractory thrombocytopenia (morphologic abnormality);refractory thrombocytopenia;exactmatch
fibromyxolipoma (morphologic abnormality);fibromyxolipoma;exactmatch
primary cerebral lymphoma (disorder);cerebral lymphoma;exactmatch
islet cell neoplasm (morphologic abnormality);pancreatic neuroendocrine neoplasm;exactmatch
malignant germ cell neoplasm (morphologic abnormality);malignant germ cell tumor;exactmatch
adenocarcinoma, intestinal type (morphologic abnormality);intestinal-type adenocarcinoma;exactmatch
malignant neoplasm of bone (disorder);malignant bone neoplasm;exactmatch
"mixed phenotype acute leukemia with t(9;22) (q34;q11.2); bcr-abl1 (disorder)";"mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2); bcr-abl1";exactmatch
malignant tumor of pituitary gland (disorder);malignant pituitary gland neoplasm;exactmatch
adenoid cystic carcinoma (morphologic abnormality);adenoid cystic carcinoma;exactmatch
carcinoma, diffuse type (morphologic abnormality);diffuse type adenocarcinoma;exactmatch
hodgkin lymphoma, nodular sclerosis, grade 1 (morphologic abnormality);grade 1 nodular sclerosis classic hodgkin lymphoma;exactmatch
sebaceous adenocarcinoma (morphologic abnormality);sebaceous carcinoma;exactmatch
hodgkin's disease (disorder);hodgkin's granuloma;exactmatch
hemangioblastoma (morphologic abnormality);hemangioblastoma;exactmatch
b-cell acute lymphoblastic leukemia (disorder);b acute lymphoblastic leukemia;exactmatch
acinar cell cystadenocarcinoma (morphologic abnormality);pancreatic acinar cell cystadenocarcinoma;exactmatch
fibroadenoma of breast (disorder);breast fibroadenoma;exactmatch
leukoplakia of lips (disorder);leukoplakia of lip;exactmatch
rhabdomyosarcoma of orbit (disorder);orbit rhabdomyosarcoma;exactmatch
polyp of vulva (disorder);vulvar polyp;exactmatch
carcinoid tumor of rectum (disorder);rectal neuroendocrine tumor g1;exactmatch
disseminated squamous cell carcinoma (morphologic abnormality);disseminated squamous cell carcinoma;exactmatch
basal cell carcinoma, nodular (morphologic abnormality);skin micronodular basal cell carcinoma;exactmatch
benign adenomatous neoplasm (disorder);adenoma;exactmatch
refractory anemia with excess blasts (disorder);myelodysplastic syndrome with excess blasts;exactmatch
secondary malignant neoplasm of pharynx (disorder);metastatic malignant neoplasm in the pharynx;exactmatch
gestational choriocarcinoma (disorder);gestational choriocarcinoma;exactmatch
malignant neoplasms of independent (primary) multiple sites (disorder);malignant neoplasm of multiple primary sites;exactmatch
inflammatory carcinoma of breast (disorder);breast inflammatory carcinoma;exactmatch
neoplasm of neck (disorder);neck neoplasm;exactmatch
chronic myeloid leukemia in remission (disorder);chronic myelogenous leukemia, bcr-abl1 positive in remission;exactmatch
trichilemmoma (morphologic abnormality);trichilemmoma;exactmatch
ossifying fibromyxoid tumor (disorder);ossifying fibromyxoid tumor;exactmatch
primary malignant neoplasm of adrenal gland (disorder);malignant adrenal gland neoplasm;exactmatch
pleomorphic liposarcoma (disorder);pleomorphic liposarcoma;exactmatch
carcinoma in situ of oropharynx (disorder);stage 0 oropharyngeal carcinoma ajcc v6 and v7;exactmatch
bone tumor (morphologic abnormality);bone neoplasm;exactmatch
trichofolliculoma (disorder);trichofolliculoma;exactmatch
diffuse malignant lymphoma - large cleaved cell (disorder);malignant lymphoma, large cell, cleaved;exactmatch
bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous (morphologic abnormality);mixed mucinous and non-mucinous bronchioloalveolar carcinoma;exactmatch
malignant neoplasm of brain (disorder);malignant brain neoplasm;exactmatch
carcinoma, undifferentiated (morphologic abnormality);undifferentiated carcinoma;exactmatch
benign brenner tumor (morphologic abnormality);benign ovarian brenner tumor;exactmatch
clear cell carcinoma of kidney (disorder);renal cell carcinoma;exactmatch
juvenile polyposis syndrome (disorder);juvenile polyposis syndrome;exactmatch
secondary malignant neoplasm of viscera (disorder);metastatic malignant neoplasm in the viscera;exactmatch
adenoma of ampulla of vater (disorder);ampulla of vater adenoma, intestinal-type;exactmatch
chronic phase chronic myeloid leukemia (disorder);chronic phase chronic myelogenous leukemia, bcr-abl1 positive;exactmatch
malignant melanoma, regressing (morphologic abnormality);regressing melanoma;exactmatch
struma ovarii (morphologic abnormality);struma ovarii;exactmatch
extraventricular neurocytoma (morphologic abnormality);extraventricular neurocytoma;exactmatch
myxoma (disorder);myxoma;exactmatch
malignant histiocytosis (disorder);malignant histiocytosis;exactmatch
follicular lymphoma (morphologic abnormality);follicular lymphoma;exactmatch
non-hodgkin's lymphoma of stomach (disorder);gastric non-hodgkin lymphoma;exactmatch
benign neoplasm of placenta (disorder);benign placental neoplasm;exactmatch
clear cell adenofibroma (morphologic abnormality);clear cell adenofibroma;exactmatch
subungual glomus tumor (disorder);subungual glomus tumor;exactmatch
carcinoma, metastatic (morphologic abnormality);metastatic carcinoma;exactmatch
