head;tail;relation
congenital dystrophy of cornea (disorder);congenital dystrophy of cornea;exactmatch
structure of embryo proper (body structure);embryo proper;exactmatch
middle nasal turbinate structure (body structure);concha nasalis media;exactmatch
finding of upper trunk (finding);finding of thoracic segment of trunk;exactmatch
adenomatous goiter (disorder);adenomatous thyroid goiter;exactmatch
structure of mucous gland (organ component) (body structure);mucous gland (organ component);exactmatch
multifocal superficial basal cell carcinoma (morphologic abnormality);multicentric basal cell carcinoma;exactmatch
stomatitis (disorder);inflammation of mouth;exactmatch
hutchinson's melanotic freckle (morphologic abnormality);hutchinson melanotic freckle;exactmatch
lateral canthus structure (body structure);lateral canthus;exactmatch
structure of body of tongue (body structure);anterior 2/3 of tongue;exactmatch
structure of left side of trunk (body structure);left side of trunk;exactmatch
structure of left thigh (body structure);left thigh;exactmatch
inflammatory pseudotumor of colon (disorder);fibroid polyp of colon;exactmatch
mu heavy chain disease (disorder);igm heavy chain disease;exactmatch
multiple endocrine neoplasia, type 3 (disorder);men 2b - multiple endocrine neoplasia type 2b;exactmatch
epiglottis structure (body structure);epiglottis;exactmatch
structure of pelvic segment of trunk (body structure);pelvic segment of trunk;exactmatch
disorder of fetal structure (disorder);disorder of foetal structure;exactmatch
mediastinal lymph node structure (body structure);mediastinal lymph node;exactmatch
gestational trophoblastic neoplasia (disorder);persistent gestational trophoblastic disease;exactmatch
multiple endocrine adenomas (morphologic abnormality);endocrine adenomatosis;exactmatch
structure of pharyngeal portion of dorsum of tongue (body structure);pharyngeal portion of dorsum of tongue;exactmatch
adenomatoid odontogenic tumor (morphologic abnormality);adenoameloblastoma;exactmatch
disorder of the larynx (disorder);disease of larynx;exactmatch
congenital anomaly of adrenal gland (disorder);congenital malformation of adrenal gland;exactmatch
corneal transplant (procedure);corneal graft;exactmatch
histiocytosis (morphologic abnormality);reticulohistiocytosis;exactmatch
congenital anomaly of stomach (disorder);congenital abnormality of stomach;exactmatch
third cranial nerve disease (disorder);oculomotor nerve disease;exactmatch
cheek structure (body structure);buccal region of face;exactmatch
abdominal esophagus structure (body structure);abdominal esophagus;exactmatch
hormone secretion, function (observable entity);hormone secretion, function;exactmatch
structure of right side of vulva (body structure);right side of vulva;exactmatch
temporal bone structure (body structure);temporal bone;exactmatch
skin structure of external genitalia (body structure);skin of external genitalia;exactmatch
typhlitis (disorder);caecitis;exactmatch
phlebitis (disorder);inflammation of vein;exactmatch
operative procedure on foot (procedure);operative procedure on foot or toes;exactmatch
lower limb structure (body structure);leg;exactmatch
structure of right upper eyelid (body structure);right upper eyelid;exactmatch
lacrimal bone structure (body structure);lacrimal bone;exactmatch
grafting of palate (procedure);graft of palate;exactmatch
structure of cervical spinal nerve (body structure);cervical nerve;exactmatch
mixed type rhabdomyosarcoma (morphologic abnormality);mixed embryonal rhabdomyosarcoma and alveolar rhabdomyosarcoma;exactmatch
alveolitis of maxilla (disorder);maxillary osteitis;exactmatch
bone structure of radius (body structure);radius;exactmatch
acquired immune deficiency syndrome (disorder);aids - acquired immunodeficiency syndrome;exactmatch
hepatic fibrosis (disorder);fibrosis of liver;exactmatch
stewart-treves syndrome (disorder);lymphangiosarcoma of stewart and treves;exactmatch
structure of atlantoaxial joint (body structure);atlantoaxial joint;exactmatch
degenerative disorder of eye (disorder);degenerative disorder of globe;exactmatch
fetal hemoglobinopathy (disorder);foetal haemoglobinopathy;exactmatch
pigmented dermatofibrosarcoma protuberans (morphologic abnormality);bednar tumor;exactmatch
conjunctival deposit (disorder);conjunctival deposits;exactmatch
subfamily gammaherpesvirinae (organism);gammaherpesvirinae;exactmatch
neoplasm, malignant, uncertain whether primary or metastatic (morphologic abnormality);malignant tumor - uncertain whether primary or metastatic;exactmatch
structure of right lower limb (body structure);right leg;exactmatch
structure of choroid of right eye (body structure);choroid of right;exactmatch
tubulovillous adenoma (morphologic abnormality);papillotubular adenoma;exactmatch
joint structure of trunk (body structure);joint of trunk;exactmatch
alveolitis of jaw (disorder);alveoalgia;exactmatch
multiple endocrine neoplasia, type 2 (disorder);familial chromaffinomatosis;exactmatch
dysplastic nevus (morphologic abnormality);atypical naevus;exactmatch
spinal canal structure (body structure);spinal canal;exactmatch
alar structure (body structure);ala nasi;exactmatch
structure of piriform recess (body structure);piriform fossa;exactmatch
platelet count (procedure);platelet count - observation;exactmatch
auricular region structure (body structure);auricular region;exactmatch
midbrain structure (body structure);mesencephalon;exactmatch
adverse reaction caused by drug (disorder);adr - adverse drug reaction;exactmatch
mesothelioma, malignant (morphologic abnormality);malignant mesothelioma;exactmatch
injury of breast (disorder);breast injury;exactmatch
congenital anomaly of optic disc (disorder);optic disc anomaly;exactmatch
skin structure of foot (body structure);skin of foot;exactmatch
congenital anomaly of limb (disorder);congenital abnormality of the limb;exactmatch
epithelioid sarcoma (morphologic abnormality);epithelioid cell sarcoma;exactmatch
benign monoclonal gammopathy (disorder);asymptomatic monoclonal gammopathy;exactmatch
upper respiratory tract structure (body structure);upper respiratory structure;exactmatch
disorder of capillaries (disorder);capillary disease;exactmatch
arthrogram of temporomandibular joint (procedure);temporomandibular contrast arthrogram;exactmatch
physical examination procedure (procedure);clinical examination;exactmatch
glia (body structure);neuroglia;exactmatch
lethal midline granuloma (disorder);lethal midline granuloma of face;exactmatch
repair of ulna (procedure);repair of ulna;exactmatch
chronic appendicitis (disorder);grumbling appendix;exactmatch
structure of infundibulum of hair follicle (body structure);infundibulum of hair follicle;exactmatch
skene's gland adenitis (disorder);skene gland adenitis;exactmatch
mastoid structure (body structure);mastoid bone;exactmatch
skin structure of anus (body structure);skin of anus;exactmatch
right occipital lobe structure (body structure);right occipital lobe;exactmatch
lower genitourinary tract structure (body structure);lower genitourinary tract;exactmatch
primary immune deficiency disorder (disorder);primary immunodeficiency;exactmatch
flank structure (body structure);flank;exactmatch
limbic system structure (body structure);limbic system;exactmatch
clear cell adenofibroma (morphologic abnormality);clear cell cystadenofibroma;exactmatch
operation on nasal septum (procedure);nasal septal operation;exactmatch
congenital adhesions of omentum (disorder);congenital omental adhesions;exactmatch
diaphragm structure (body structure);diaphragm;exactmatch
structure of sole of foot (body structure);sole of foot;exactmatch
cowden syndrome (disorder);cowden's syndrome;exactmatch
ceruminous adenocarcinoma (morphologic abnormality);ceruminous carcinoma;exactmatch
viral meningitis (disorder);abacterial meningitis;exactmatch
structure of retina of left eye (body structure);retina of left eye;exactmatch
traumatic arthropathy (disorder);traumatic arthritis;exactmatch
injury of anterior neck (disorder);injury of throat;exactmatch
fibromyxolipoma (morphologic abnormality);myxolipoma;exactmatch
carcinoma, anaplastic (morphologic abnormality);anaplastic carcinoma;exactmatch
skin structure of head and/or neck (body structure);skin of head and neck;exactmatch
skin structure of lower trunk (body structure);skin of lower trunk;exactmatch
trichoepithelioma (morphologic abnormality);brooke's tumor;exactmatch
pulmonary embolism (disorder);pe - pulmonary embolism;exactmatch
congenital anomaly of tongue (disorder);congenital abnormality of tongue;exactmatch
operation on spleen (procedure);spleen operation;exactmatch
repair of eye (procedure);eye repair;exactmatch
serofibrinous pleurisy (disorder);acute fibrinous pleuritis;exactmatch
lumbar spinal cord structure (body structure);lumbar spinal cord;exactmatch
cervical esophagus structure (body structure);cervical esophagus;exactmatch
cyst of pharynx (disorder);pharyngeal cyst;exactmatch
structure of tapetum of corpus callosum (body structure);tapetum;exactmatch
osteomyelitis (disorder);om - osteomyelitis;exactmatch
sigmoid colon structure (body structure);sigmoid colon;exactmatch
neural tube structure (body structure);neural tube;exactmatch
adenocarcinoma in situ in adenomatous polyp (morphologic abnormality);adenocarcinoma in situ in polypoid adenoma;exactmatch
lymphatic follicle structure (body structure);lymphatic follicle;exactmatch
glans penis structure (body structure);glans penis;exactmatch
islet cell carcinoma (morphologic abnormality);islet cell adenocarcinoma;exactmatch
angiofibroma, no international classification of diseases for oncology subtype (morphologic abnormality);angiofibroma, no icd-o subtype;exactmatch
thoracic cage structure (body structure);rib cage;exactmatch
tendon and/or tendon sheath structure (body structure);tendon and tendon sheath;exactmatch
repair of spermatic cord (procedure);repair of spermatic cord laceration;exactmatch
blood vessel structure (body structure);blood vessel;exactmatch
structure of left wrist (body structure);left wrist;exactmatch
skin structure of thumb (body structure);skin of thumb;exactmatch
adenosquamous carcinoma (morphologic abnormality);mixed adenocarcinoma and epidermoid carcinoma;exactmatch
anterior abdominal wall structure (body structure);anterior abdominal wall;exactmatch
structure of pharyngopalatine arch (body structure);arcus palatopharyngeus;exactmatch
structure of lymph node (body structure);lymph gland;exactmatch
structure of submandibular lymph node (body structure);submandibular lymph node;exactmatch
squamous cell carcinoma in situ, no international classification of diseases for oncology subtype (morphologic abnormality);epidermoid carcinoma in situ;exactmatch
disorder of conjunctiva (disorder);disease of conjunctiva;exactmatch
repair of cranial nerve (procedure);cranial nerve repair;exactmatch
tragus structure (body structure);tragus;exactmatch
thoracic esophagus structure (body structure);thoracic esophagus;exactmatch
disorder of rectum (disorder);rectal disorder;exactmatch
structure of mucous membrane of lip (body structure);labial mucosa;exactmatch
atrial structure (body structure);atrium;exactmatch
nonencapsulated sclerosing carcinoma (morphologic abnormality);nonencapsulated sclerosing adenocarcinoma;exactmatch
structure of optic portion of retina (body structure);optic portion of retina;exactmatch
repair of patella (procedure);osteoplasty of patella;exactmatch
fourth metacarpal bone structure (body structure);bone structure of fourth metacarpal;exactmatch
ectopic pituitary tissue (disorder);aberrant pituitary gland;exactmatch
histiocytic infiltrate (morphologic abnormality);histiocytic reaction;exactmatch
langerhans cell histiocytosis (disorder);differentiated progressive histiocytosis;exactmatch
clitoral structure (body structure);clitoris;exactmatch
genus rhinosporidium (organism);genus rhinosporidium;exactmatch
inferior nasal turbinate structure (body structure);concha nasalis inferior;exactmatch
polyp of cervix (disorder);cervical polyp;exactmatch
congenital anomaly of cerebrovascular system (disorder);congenital anomaly of cerebral vessels;exactmatch
malignant teratoma, trophoblastic (morphologic abnormality);trophoblastic malignant teratoma;exactmatch
take-down of stoma of gallbladder (procedure);closure of cholecystostomy;exactmatch
spindle cell carcinoma (morphologic abnormality);polypoid squamous cell carcinoma;exactmatch
congenital anomaly of vulva (disorder);congenital abnormality of vulva;exactmatch
necrosis (morphologic abnormality);cellular necrosis;exactmatch
injury of mouth (disorder);injury of oral cavity;exactmatch
structure of fundus of eye (body structure);fundus;exactmatch
otitis media (disorder);om - otitis media;exactmatch
aneurysm of heart (disorder);aneurysm of heart wall;exactmatch
lower eyelid structure (body structure);lower eyelid;exactmatch
epithelioid mesothelioma, malignant (morphologic abnormality);epithelioid mesothelioma;exactmatch
bone structure of coccyx (body structure);os coccyx;exactmatch
seminal vesicle structure (body structure);seminal vesicle;exactmatch
blood coagulation disorder (disorder);bleeding diathesis;exactmatch
mass of pleura (disorder);pleural mass;exactmatch
congenital rhabdomyoma of heart (disorder);congenital diffuse rhabdomyoma of heart;exactmatch
operation on ovary (procedure);ovarian operation;exactmatch
disorder of testis (disorder);testicular disorder;exactmatch
operation on heart (procedure);cardiac surgery procedure;exactmatch
klatskin's tumor (morphologic abnormality);klatskin tumor;exactmatch
transitional meningioma (morphologic abnormality);mixed meningioma;exactmatch
periosteal fibrosarcoma (morphologic abnormality);periosteal sarcoma;exactmatch
ectopic spleen (disorder);aberrant spleen;exactmatch
nodular circumscribed lipomatosis (disorder);symmetrical lipomatosis;exactmatch
structure of deep inguinal lymph node (body structure);deep inguinal lymph node;exactmatch
congenital anomaly of parathyroid glands (disorder);congenital malformation of parathyroid gland;exactmatch
adenoma of the nipple (morphologic abnormality);subareolar duct papillomatosis;exactmatch
structure of left upper eyelid (body structure);lul-left upper eyelid;exactmatch
calcinosis (disorder);extraskeletal calcification;exactmatch
female genitourinary system structure (body structure);female genitourinary system;exactmatch
congenital anomaly of upper limb (disorder);congenital abnormality of upper limb and shoulder girdle;exactmatch
glucagonoma, malignant (morphologic abnormality);alpha cell tumor, malignant;exactmatch
repair of cerebral dura mater (procedure);repair of cerebral dura mater;exactmatch
skin structure of back (body structure);skin of back;exactmatch
degeneration of acoustic nerve (disorder);acoustic nerve degeneration;exactmatch
leptomeninges structure (body structure);leptomeninges;exactmatch
embryonic structure (body structure);embryological structure;exactmatch
appendix structure (body structure);appendix;exactmatch
optic neuritis (disorder);on - optic neuritis;exactmatch
induration of breast (disorder);hardness of breast;exactmatch
structure of right ankle (body structure);right ankle;exactmatch
skin structure of lower lip (body structure);skin of lower lip;exactmatch
structure of dorsum of tongue (body structure);dorsum of tongue;exactmatch
bone cyst (morphologic abnormality);local cyst of bone;exactmatch
hyperparathyroidism (disorder);hpth - hyperparathyroidism;exactmatch
structure of left forearm (body structure);left forearm;exactmatch
parietal peritoneum structure (body structure);parietal peritoneum;exactmatch
osteochondromatosis (morphologic abnormality);ecchondrosis;exactmatch
jaw region structure (body structure);jaw;exactmatch
limb structure (body structure);extremity;exactmatch
structure of median umbilical fold (body structure);median umbilical fold;exactmatch
bone structure of pubis (body structure);pubis;exactmatch
congenital hyperplasia of muscle (disorder);congenital muscular hypertrophy;exactmatch
pyloric antrum structure (body structure);antrum of stomach;exactmatch
congenital disease (disorder);congenital disorder;exactmatch
congenital fusion of ribs (disorder);bifid ribs;exactmatch
structure of sternal region (body structure);sternal region;exactmatch
ulcer on tongue (disorder);tongue ulceration;exactmatch
verruciform xanthoma (morphologic abnormality);histiocytosis y;exactmatch
hemangioendothelioma (morphologic abnormality);angioendothelioma;exactmatch
structure of fundus of urinary bladder (body structure);base of bladder;exactmatch
thrombocytosis (disorder);increased platelets;exactmatch
optic nerve sheath structure (body structure);meninges surrounding optic nerve;exactmatch
lactiferous duct structure (body structure);lactiferous duct;exactmatch
inflammation of small intestine (disorder);enteritis;exactmatch
ulcer of esophagus due to ingestion of medicines (disorder);drug-induced ulcer of esophagus;exactmatch
eosinophilic granulomatous polyp (morphologic abnormality);inflammatory fibroid polyp;exactmatch
structure of left testis (body structure);left testis;exactmatch
chronic pyelonephritis (disorder);cpn - chronic pyelonephritis;exactmatch
juxtaglomerular apparatus structure (body structure);juxtaglomerular apparatus;exactmatch
angiokeratoma of fordyce (disorder);fordyce angiokeratoma;exactmatch
structure of abdominopelvic segment of trunk (body structure);lower trunk;exactmatch
disorder of uterine cervix (disorder);disease of cervix;exactmatch
chronic myelogenous leukemia, no international classification of diseases for oncology subtype (morphologic abnormality);chronic granulocytic leukaemia;exactmatch
lymphangiosarcoma (morphologic abnormality);lymphangioendothelial sarcoma;exactmatch
meigs' syndrome (disorder);demons-meigs syndrome;exactmatch
lesser omentum structure (body structure);lesser omentum;exactmatch
verruca plantaris (disorder);plantar wart;exactmatch
squamous cell papilloma (morphologic abnormality);keratotic papilloma;exactmatch
skin structure of knee (body structure);skin of knee;exactmatch
prostate specific antigen measurement (procedure);psa - prostate-specific antigen level;exactmatch
lipoblastoma and/or lipoblastomatosis (morphologic abnormality);fetal lipoma;exactmatch
synovial sarcoma (morphologic abnormality);synovioma;exactmatch
ectoderm structure (body structure);ectoderm;exactmatch
localized extracutaneous mastocytosis (disorder);extracutaneous mastocytoma;exactmatch
cardia structure (body structure);cardia;exactmatch
lower male genitourinary tract structure (body structure);lower male genitourinary tract;exactmatch
adenohypophysis structure (body structure);adenohypophysis;exactmatch
anomaly of fetal ear (disorder);anomaly of foetal ear;exactmatch
upper gastrointestinal tract structure (body structure);upper gastrointestinal tract;exactmatch
operation on pericardium (procedure);pericardial operation;exactmatch
atrophy of gums (disorder);gingival atrophy;exactmatch
cerebrovascular disease (disorder);cvd - cerebrovascular disease;exactmatch
blue nevus (morphologic abnormality);dermal melanocytoma;exactmatch
sebaceous cyst of scrotum (disorder);scrotal sebaceous cyst;exactmatch
secundines structure (body structure);afterbirth;exactmatch
structure of mucous membrane of frontal sinus (body structure);mucous membrane of frontal sinus;exactmatch
injury of artery (disorder);arterial injury;exactmatch
xanthomatosis (disorder);xanthoma;exactmatch
structure of dorsum of hand (body structure);dorsum of hand;exactmatch
glioblastoma, no international classification of diseases for oncology subtype (morphologic abnormality);gbm - glioblastoma multiforme;exactmatch
biomedical device (physical object);clinical device;exactmatch
injury of vein (disorder);venous injury;exactmatch
adrenal cortical adenoma, compact cell (morphologic abnormality);adrenal cortical adenoma - compact cell;exactmatch
endometriosis of the cul-de-sac (disorder);endometriosis of pouch of douglas;exactmatch
repair of lower eyelid (procedure);repair of lower eyelid;exactmatch
hypertrophy of lip (disorder);macrocheilia;exactmatch
structure of left sublingual gland (body structure);left sublingual gland;exactmatch
trigeminal nerve disorder (disorder);disorder of the fifth cranial nerve;exactmatch
synovial membrane structure (body structure);synovial membrane structure;exactmatch
structure of neck of urinary bladder (body structure);bn - bladder neck;exactmatch
structure of bronchus of right lower lobe (body structure);bronchus of right lower lobe;exactmatch
ameloblastic fibrodentinoma (morphologic abnormality);dentinoma;exactmatch
immunologic cell (cell);immunocyte;exactmatch
mast cell (cell);basophilic histiocyte;exactmatch
intraductal papillary adenocarcinoma with invasion (morphologic abnormality);infiltrating and papillary adenocarcinoma;exactmatch
disorder of male genital organ (disorder);male genital organ disease;exactmatch
disease (disorder);clinical disease and/or syndrome;exactmatch
malignant lymphoma, small lymphocytic (morphologic abnormality);malignant lymphoma, lymphocytic;exactmatch
structure of right forearm (body structure);right forearm;exactmatch
structure of left half of head (body structure);left half of head;exactmatch
bone structure of patella (body structure);patella;exactmatch
structure of cardiac ostium of stomach (body structure);cardiac ostium of stomach;exactmatch
anterior chest wall structure (body structure);anterior chest wall;exactmatch
exostosis of orbit (disorder);orbital exostosis;exactmatch
operation on facial bone (procedure);facial bone operation;exactmatch
lumbosacral spinal cord structure (body structure);lumbosacral spinal cord;exactmatch
heavy chain disease (morphologic abnormality);alpha heavy chain disease;exactmatch
epithelioma, benign (morphologic abnormality);benign epithelioma;exactmatch
gigantiform cementoma (morphologic abnormality);familial multiple cementoma;exactmatch
colitis (disorder);colon inflammation;exactmatch
skin appendage carcinoma (morphologic abnormality);adnexal carcinoma;exactmatch
injury of pneumogastric nerve (disorder);injury of tenth cranial nerve;exactmatch
kidney structure (body structure);kidney;exactmatch
costal chondritis (disorder);costochondritis;exactmatch
structure of head of pancreas (body structure);head of pancreas;exactmatch
squamous cell carcinoma, metastatic (morphologic abnormality);metastatic squamous cell carcinoma;exactmatch
myocardial disease (disorder);disorder of heart muscle;exactmatch
chemical element (substance);element;exactmatch
urothelium (body structure);urinary tract transitional epithelium;exactmatch
structure of anterior floor of mouth (body structure);anterior floor of mouth;exactmatch
combined hepatocellular carcinoma and cholangiocarcinoma (morphologic abnormality);hepatocholangiocarcinoma;exactmatch
structure of lunate bone (body structure);intermediate carpal bone;exactmatch
disorder of duodenum (disorder);duodenal disease;exactmatch
acute megakaryoblastic leukemia, morphology (morphologic abnormality);acute megakaryoblastic leukaemia, morphology;exactmatch
hodgkin lymphoma, nodular sclerosis (morphologic abnormality);classical hodgkin lymphoma, nodular sclerosis;exactmatch
right cerebral hemisphere structure (body structure);right cerebral hemisphere;exactmatch
osteochondroma (morphologic abnormality);cartilaginous exostosis;exactmatch
gastritis medicamentosa (disorder);drug-induced gastritis;exactmatch
hemorrhagic cyst (morphologic abnormality);blood cyst;exactmatch
cyst of retina (disorder);cyst of retina;exactmatch
ethmoid bone structure (body structure);ethmoid bone;exactmatch
operation on epididymis (procedure);operation on the epididymis;exactmatch
mastoiditis (disorder);mastoid empyema;exactmatch
intraductal papilloma (morphologic abnormality);duct adenoma;exactmatch
leukocyte (cell);wbc - white blood cell;exactmatch
repair of ligament (procedure);ligament repair;exactmatch
present (qualifier value);presence of;exactmatch
structure of venule (body structure);venule;exactmatch
arteritis (disorder);inflammation of artery;exactmatch
congenital anomaly of ureter (disorder);congenital abnormality of the ureter;exactmatch
mass of sacrum (disorder);sacral mass;exactmatch
sphincter of oddi structure (body structure);sphincter of oddi;exactmatch
peripheral vascular system structure (body structure);peripheral vascular system;exactmatch
neurothekeoma (morphologic abnormality);nerve sheath myxoma;exactmatch
tympanic cavity structure (body structure);tympanic cavity;exactmatch
systemic circulatory system structure (body structure);greater circulation;exactmatch
ulcer of duodenum (disorder);du - duodenal ulcer;exactmatch
right thorax structure (body structure);right thorax;exactmatch
injury of finger (disorder);finger injury;exactmatch
skin structure of toe (body structure);skin of toe;exactmatch
infantile fibrosarcoma (morphologic abnormality);congenital fibrosarcoma;exactmatch
structure of subserous part of myometrium (body structure);subserous part of myometrium;exactmatch
congenital human immunodeficiency virus infection (disorder);congenital hiv infection;exactmatch
structure of ligament (body structure);ligament;exactmatch
structure of body of sternum (body structure);body of sternum;exactmatch
body region structure (body structure);anatomic region;exactmatch
follicular adenocarcinoma (morphologic abnormality);follicular carcinoma;exactmatch
repair of auricle of ear (procedure);otoplasty;exactmatch
anaplastic large cell lymphoma, t cell and null cell type (morphologic abnormality);anaplastic large cell lymphoma;exactmatch
structure of left spermatic cord (body structure);left spermatic cord;exactmatch
operation on diaphragm (procedure);diaphragm operation;exactmatch
aortic body tumor (morphologic abnormality);aortic body paraganglioma;exactmatch
internal nose structure (body structure);internal nose;exactmatch
prosthesis, device (physical object);prosthesis, device;exactmatch
articular cartilage disorder (disorder);articular cartilage disease;exactmatch
right middle ear structure (body structure);right middle ear;exactmatch
abnormal hormone secretion (finding);disorder of hormone secretion;exactmatch
anal structure (body structure);anus;exactmatch
autonomic nerve structure (body structure);peripheral autonomic nerve;exactmatch
transitional cell carcinoma in situ (morphologic abnormality);urothelial carcinoma in situ;exactmatch
dermis structure (body structure);corium;exactmatch
disorder of digestive system (disorder);digestive system disease;exactmatch
temporomandibular joint structure (body structure);temporomandibular joint;exactmatch
structure of ureteral orifice (body structure);ureteral orifice;exactmatch
right nasolacrimal duct structure (body structure);right nasolacrimal duct;exactmatch
structure of paraurethral duct (body structure);paraurethral duct;exactmatch
insertion of bilateral breast prostheses (procedure);bilateral insertion of prosthesis into breast;exactmatch
structure of lumbar region of back (body structure);lumbar region back structure;exactmatch
actinic reticuloid (disorder);cad - chronic actinic dermatitis;exactmatch
concha of ear structure (body structure);concha;exactmatch
left temporal lobe structure (body structure);left temporal lobe;exactmatch
forehead structure (body structure);forehead;exactmatch
rupture of synovium (disorder);synovial rupture;exactmatch
congenital anomaly of vagina (disorder);congenital disorder of vagina;exactmatch
upper limb structure (body structure);arm;exactmatch
thyroid cartilage structure (body structure);thyroid cartilage;exactmatch
myelofibrosis (disorder);agnogenic myeloid metaplasia;exactmatch
structure of alveolar arch of maxilla (body structure);alveolar arch of maxilla;exactmatch
female genital structure (body structure);female genital organs;exactmatch
structure of hilar lymph node (body structure);bronchial lymph node;exactmatch
subacute dermatitis (disorder);acute and chronic dermatitis;exactmatch
partial hydatidiform mole (morphologic abnormality);partial mole;exactmatch
desmoplastic melanoma, malignant (morphologic abnormality);desmoplastic melanoma, amelanotic;exactmatch
extra-adrenal paraganglioma (morphologic abnormality);chemodectoma;exactmatch
structure of round ligament of uterus (body structure);round ligament of uterus;exactmatch
operation on clitoris (procedure);clitoris operation;exactmatch
operation on tarsal plate of eyelid (procedure);operation on tarsus;exactmatch
skin structure of great toe (body structure);skin of great toe;exactmatch
metabolic bone disease (disorder);metabolic disorder of bone;exactmatch
structure of cortex of kidney (body structure);cortex of kidney;exactmatch
lower respiratory tract infection (disorder);chest cold;exactmatch
left middle ear structure (body structure);left middle ear;exactmatch
senile angioma (disorder);blood spots on skin;exactmatch
endocervical gland structure (body structure);cervical gland of uterus;exactmatch
merkel cell carcinoma (morphologic abnormality);merkel cell tumor;exactmatch
gastrointestinal submucosa structure (body structure);gastrointestinal submucosa;exactmatch
seborrheic dermatitis (disorder);sbd - seborrheic dermatitis;exactmatch
gastric rupture (disorder);disruption of stomach;exactmatch
