head;tail;relation
product containing lefamulin (medicinal product);lefamulin;exactmatch
secobarbital (substance);barbiturate;broadmatch
hydroxyzine pamoate (substance);histamine-1 receptor antagonist;broadmatch
endothelin receptor type a antagonist;sitaxentan (substance);narrowmatch
antiprotozoal agent;product containing nifurtimox (medicinal product);narrowmatch
gallopamil (substance);calcium channel blocker;broadmatch
suvorexant (substance);orexin receptor antagonist;broadmatch
acetophenazine maleate (substance);acetophenazine maleate;exactmatch
tafenoquine succinate (substance);tafenoquine succinate;exactmatch
paraben;product containing butyl para-hydroxybenzoate (medicinal product);narrowmatch
antilipidemic agent;lomitapide (substance);narrowmatch
bronchodilator;salmeterol (substance);narrowmatch
saxagliptin (substance);saxagliptin;exactmatch
chlortalidone (substance);chlorthalidone;exactmatch
oxymorphone hydrochloride (substance);oxymorphone hydrochloride;exactmatch
rizatriptan (substance);serotonin agonist;broadmatch
dapoxetine hydrochloride (substance);dapoxetine hydrochloride;exactmatch
eplerenone (substance);antihypertensive agent;broadmatch
nicotinic antagonist;pentamethonium (substance);narrowmatch
muscle relaxant;carisoprodol (substance);narrowmatch
blood substitute;dextran 70 (substance);narrowmatch
product containing pentosan polysulfate (medicinal product);pentosan polysulfate;exactmatch
product containing verapamil (medicinal product);calcium channel blocker;broadmatch
fenofibric acid (substance);antilipidemic agent;broadmatch
theophylline monohydrate (substance);alkaloid;broadmatch
product containing inotersen (medicinal product);inotersen;exactmatch
forodesine (substance);forodesine;exactmatch
product containing norfloxacin (medicinal product);norfloxacin;exactmatch
phenyl salicylate (substance);analgesic and antipyretic;broadmatch
product containing phenazocine (medicinal product);phenazocine;exactmatch
phensuximide (substance);phensuximide;exactmatch
pentamethonium bromide (substance);pentamethonium bromide;exactmatch
product containing remifentanil (medicinal product);remifentanil;exactmatch
product containing clenbuterol (medicinal product);bronchodilator;broadmatch
pafuramidine maleate (substance);pafuramidine maleate;exactmatch
dextromethorphan hydrobromide (substance);dextromethorphan hydrobromide;exactmatch
amorolfine (substance);enzyme inhibitor;broadmatch
diloxanide (substance);antiprotozoal agent;broadmatch
product containing rilpivirine (medicinal product);non-nucleoside reverse transcriptase inhibitor;broadmatch
