head;tail;relation
vaccine product containing only inactivated whole vibrio cholerae antigen in oral dose form (medicinal product form);inactivated cholera vaccine in oral dose form;exactmatch
coagulation factor xiii (substance);factor xiii;exactmatch
calcium-45 (substance);45-ca;exactmatch
soy protein-iron complex (substance);soya protein-iron complex;exactmatch
n-phenylacetamide (substance);acetanilid;exactmatch
sulthiamine (substance);sulthiame;exactmatch
labetalol hydrochloride (substance);ibidomide hydrochloride;exactmatch
sulfamoxole (substance);sulphamoxole;exactmatch
pelargonic acid (substance);aliphatic carboxylic acid, c9:0;exactmatch
arterial structure (body structure);artery;exactmatch
thoracic structure (body structure);chest;exactmatch
gamma-ketovaleric acid (substance);levulinic acid;exactmatch
coagulation factor xa (substance);activated factor x;exactmatch
estrone (substance);e1 - estrone;exactmatch
congenital anomaly of ureter (disorder);congenital abnormality of the ureter;exactmatch
peripheral vascular system structure (body structure);peripheral vascular system;exactmatch
systemic circulatory system structure (body structure);greater circulation;exactmatch
tetracaine hydrochloride (substance);amethocaine hydrochloride;exactmatch
arteritis (disorder);inflammation of artery;exactmatch
partial ureterectomy (procedure);excision of segment of ureter;exactmatch
organic phosphorus compound (substance);organic phosphate;exactmatch
hemodialysis fluid (product);haemodialyzate;exactmatch
injury of trunk (disorder);truncal injury;exactmatch
internal injury of abdominal organ (disorder);injury of abdominal viscus;exactmatch
medicinal product acting as emollient (product);emollient product;exactmatch
plant cyanogenic glycoside (substance);cyanogenic glycoside;exactmatch
blood group antigen i (substance);i antigen;exactmatch
pepsin a (substance);pepsin;exactmatch
adenylic acid (substance);amp;exactmatch
glucosulfone (substance);glucosulphone;exactmatch
indium-113m (substance);113m-in;exactmatch
alprostadil (substance);pge1 - prostaglandin e1;exactmatch
methscopolamine bromide (substance);hyoscine methobromide bromide;exactmatch
papain (substance);papaya peptidase i;exactmatch
structure of visual system (body structure);visual structure;exactmatch
disorder of cardiovascular system (disorder);cvd - cardiovascular disease;exactmatch
monoclonal antibody (substance);monoclonal immunoglobulin;exactmatch
tree bark (substance);plant bark;exactmatch
somatostatin (substance);growth hormone inhibiting factor;exactmatch
morphologically abnormal structure (morphologic abnormality);abnormal tissue appearance;exactmatch
gonadotropin releasing factor (substance);grf;exactmatch
structure of anterior portion of neck (body structure);anterior portion of neck;exactmatch
