head;tail;relation
angiosarcoma;sarcoma;broadMatch
angiosarcoma;hemangiosarcoma;exactMatch
pterygium;corneal disease;broadMatch
pterygium;surfer's eye;exactMatch
disease of metabolism;disease;broadMatch
seminal vesicle acute gonorrhea;gonococcal seminal vesiculitis;broadMatch
chikungunya;viral infectious disease;broadMatch
chikungunya;Chikungunya fever;exactMatch
carbohydrate metabolism disease;acquired metabolic disease;broadMatch
human granulocytic anaplasmosis;ehrlichiosis;broadMatch
human granulocytic anaplasmosis;human granulocytic ehrlichiosis;exactMatch
human monocytic ehrlichiosis;ehrlichiosis;broadMatch
mineral metabolism disease;acquired metabolic disease;broadMatch
African tick-bite fever;spotted fever;broadMatch
African tick-bite fever;Rickettsia africae spotted fever;exactMatch
African tick-bite fever;south african tick-bite fever;exactMatch
Astrakhan spotted fever;spotted fever;broadMatch
Indian tick typhus;spotted fever;broadMatch
Israeli tick typhus;spotted fever;broadMatch
Far Eastern spotted fever;spotted fever;broadMatch
Far Eastern spotted fever;Rickettsia heilongjiangensis spotted fever;exactMatch
Flinders Island spotted fever;spotted fever;broadMatch
Flinders Island spotted fever;Thai tick typhus;exactMatch
Japanese spotted fever;spotted fever;broadMatch
Japanese spotted fever;Rickettsia japonica spotted fever;exactMatch
Japanese spotted fever;oriental spotted fever;exactMatch
Rickettsia parkeri spotted fever;spotted fever;broadMatch
Rickettsia parkeri spotted fever;maculatum infection;exactMatch
Rocky Mountain spotted fever;spotted fever;broadMatch
oropharyngeal anthrax;gastrointestinal anthrax;broadMatch
erysipeloid;primary bacterial infectious disease;broadMatch
adiaspiromycosis;primary systemic mycosis;broadMatch
invasive aspergillosis;aspergillosis;broadMatch
Keshan disease;nutritional deficiency disease;broadMatch
tinea barbae;dermatophytosis;broadMatch
tinea barbae;dermatophytosis of beard;exactMatch
ectothrix infectious disease;tinea capitis;broadMatch
endothrix infectious disease;tinea capitis;broadMatch
tinea imbricata;tinea corporis;broadMatch
disease by infectious agent;disease;broadMatch
disease by infectious agent;infectious disease;exactMatch
La Crosse encephalitis;viral infectious disease;broadMatch
La Crosse encephalitis;California virus encephalitis;exactMatch
hemophagocytic lymphohistiocytosis;lymphatic system disease;broadMatch
hemophagocytic lymphohistiocytosis;HPS;exactMatch
hemophagocytic lymphohistiocytosis;haemophagocytic syndrome;exactMatch
dengue shock syndrome;dengue disease;broadMatch
dengue shock syndrome;DSS;exactMatch
sinusitis;paranasal sinus disease;broadMatch
secretory diarrhea;diarrhea;broadMatch
osmotic diarrhea;diarrhea;broadMatch
motility-related diarrhea;diarrhea;broadMatch
inflammatory diarrhea;diarrhea;broadMatch
superficial mycosis;fungal infectious disease;broadMatch
superficial mycosis;piedra;exactMatch
cutaneous mycosis;fungal infectious disease;broadMatch
subcutaneous mycosis;fungal infectious disease;broadMatch
systemic mycosis;fungal infectious disease;broadMatch
podoconiosis;elephantiasis;broadMatch
acute diarrhea;diarrhea;broadMatch
intestinal botulism;botulism;broadMatch
asymptomatic dengue;dengue disease;broadMatch
Kartagener syndrome;primary ciliary dyskinesia;broadMatch
Kartagener syndrome;Kartagener's syndrome;exactMatch
adenoiditis;upper respiratory tract disease;broadMatch
adenoiditis;chronic adenoiditis;exactMatch
otomycosis;otitis externa;broadMatch
otomycosis;Singapore ear;exactMatch
laryngotracheitis;upper respiratory tract disease;broadMatch
Pontiac fever;legionellosis;broadMatch
aspiration pneumonia;bacterial pneumonia;broadMatch
pulmonary aspergilloma;aspergillosis;broadMatch
sensory system disease;nervous system disease;broadMatch
idiopathic pulmonary fibrosis;idiopathic interstitial pneumonia;broadMatch
idiopathic pulmonary fibrosis;FIBROCYSTIC PULMONARY DYSPLASIA;exactMatch
idiopathic pulmonary fibrosis;IDIOPATHIC PULMONARY FIBROSIS, FAMILIAL;exactMatch
idiopathic pulmonary fibrosis;cryptogenic fibrosing alveolitis;exactMatch
cryptogenic organizing pneumonia;idiopathic interstitial pneumonia;broadMatch
cryptogenic organizing pneumonia;BOOP;exactMatch
cryptogenic organizing pneumonia;Cryptogenic organizing pneumonitis;exactMatch
cryptogenic organizing pneumonia;bronchiolitis obliterans organizing pneumonia;exactMatch
cryptogenic organizing pneumonia;idiopathic bronchiolitis obliterans with organizing pneumonia;exactMatch
desquamative interstitial pneumonia;idiopathic interstitial pneumonia;broadMatch
desquamative interstitial pneumonia;RBILD;exactMatch
desquamative interstitial pneumonia;familial desquamative interstitial pneumonitis;exactMatch
desquamative interstitial pneumonia;respiratory bronchiolitis-associated interstitial lung disease;exactMatch
lymphoid interstitial pneumonia;idiopathic interstitial pneumonia;broadMatch
inhalation anthrax;anthrax disease;broadMatch
inhalation anthrax;pulmonary anthrax;exactMatch
inhalation anthrax;wool-sorters' disease;exactMatch
inhalation anthrax;woolsorters' disease;exactMatch
lower respiratory tract disease;respiratory system disease;broadMatch
tuberculous salpingitis;urogenital tuberculosis;broadMatch
autoimmune polyendocrine syndrome type 1;autoimmune polyendocrine syndrome;broadMatch
autoimmune polyendocrine syndrome type 1;Autoimmune Polyglandular Syndrome I;exactMatch
autoimmune polyendocrine syndrome type 1;Whitaker syndrom;exactMatch
autoimmune polyendocrine syndrome type 1;autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy;exactMatch
autoimmune polyendocrine syndrome type 2;autoimmune polyendocrine syndrome;broadMatch
autoimmune polyendocrine syndrome type 2;Schmidt syndrome;exactMatch
cutaneous lupus erythematosus;lupus erythematosus;broadMatch
Kunjin encephalitis;West Nile encephalitis;broadMatch
tick-borne encephalitis;viral infectious disease;broadMatch
tick-borne encephalitis;Central European encephalitis;exactMatch
tick-borne encephalitis;Far Eastern TBE;exactMatch
tick-borne encephalitis;Russian spring-summer encephalitis;exactMatch
tick-borne encephalitis;Siberian tick-borne encephalitis;exactMatch
