head;tail;relation
aarskog syndrome, autosomal dominant;aarskog syndrome, autosomal dominant;exactMatch
aortic aneurysm, familial abdominal, 1;Aortic aneurysm, familial abdominal;broadMatch
aortic aneurysm, familial abdominal, 1;abdominal aortic aneurysm;exactMatch
aortic aneurysm, familial abdominal, 1;aneurysm, abdominal aortic;exactMatch
aortic aneurysm, familial abdominal, 1;aortic aneurysm, familial abdominal, 1;exactMatch
prune belly syndrome;abdominal muscles, absence of, with urinary tract abnormality and cryptorchidism;exactMatch
prune belly syndrome;eagle-barrett syndrome;exactMatch
prune belly syndrome;prune belly syndrome;exactMatch
abducens palsy;abducens palsy;exactMatch
adams-oliver syndrome 1;Adams-Oliver syndrome;broadMatch
adams-oliver syndrome 1;absence defect of limbs, scalp, and skull;exactMatch
adams-oliver syndrome 1;adams-oliver syndrome 1;exactMatch
adams-oliver syndrome 1;aos;exactMatch
adams-oliver syndrome 1;aplasia cutis congenita with terminal transverse limb defects;exactMatch
adams-oliver syndrome 1;aplasia cutis congenita, congenital heart defect, and frontonasal cysts;exactMatch
adams-oliver syndrome 1;congenital scalp defects with distal limb reduction anomalies;exactMatch
acanthosis nigricans;acanthosis nigricans;exactMatch
achard syndrome;achard syndrome;exactMatch
achondroplasia;achondroplasia;exactMatch
achoo syndrome;achoo syndrome;exactMatch
achoo syndrome;autosomal dominant compelling helioophthalmic outburst syndrome;exactMatch
achoo syndrome;peroutka sneeze;exactMatch
achoo syndrome;photic sneeze reflex;exactMatch
achoo syndrome;sneezing from light exposure;exactMatch
neurofibromatosis,  iia 2;acoustic neurinoma, bilateral;exactMatch
neurofibromatosis,  iia 2;acoustic schwannomas, bilateral;exactMatch
neurofibromatosis,  iia 2;bilateral acoustic neurofibromatosis;exactMatch
neurofibromatosis,  iia 2;neurofibromatosis,  iia 2;exactMatch
neurofibromatosis,  iia 2;neurofibromatosis, central  iia;exactMatch
acrocephalopolysyndactyly  iia 3;acps 3;exactMatch
acrocephalopolysyndactyly  iia 3;acps with leg hypoplasia;exactMatch
acrocephalopolysyndactyly  iia 3;acrocephalopolysyndactyly  iia 3;exactMatch
