head;tail;relation
48,XXYY syndrome;malformation syndrome;broadMatch
Ataxia-telangiectasia;disease;broadMatch
Ataxia-telangiectasia;Louis-Bar syndrome;exactMatch
Ocular albinism with late-onset sensorineural deafness;disease;broadMatch
Ocular albinism with late-onset sensorineural deafness;Ocular albinism with late-onset sensorineural hearing loss;exactMatch
Reticular perineurioma;clinical subtype;broadMatch
Sclerosing perineurioma;clinical subtype;broadMatch
Extraneural perineurioma;disease;broadMatch
Extraneural perineurioma;Soft tissue perineurioma;exactMatch
Intraneural perineurioma;disease;broadMatch
ABeta amyloidosis, Dutch type;clinical subtype;broadMatch
ABeta amyloidosis, Dutch type;ABetaE22Q amyloidosis;exactMatch
ABeta amyloidosis, Dutch type;HCHWA, Dutch type;exactMatch
ABeta amyloidosis, Dutch type;HCHWA-D;exactMatch
ABeta amyloidosis, Dutch type;Hereditary cerebral hemorrhage with amyloidosis, Dutch type;exactMatch
ACys amyloidosis;clinical subtype;broadMatch
ACys amyloidosis;CST3-related amyloidosis;exactMatch
ACys amyloidosis;Cystatin amyloidosis;exactMatch
ACys amyloidosis;HCHWA, Icelandic type;exactMatch
ACys amyloidosis;Hereditary cerebral hemorrhage with amyloidosis, Icelandic type;exactMatch
ACys amyloidosis;Hereditary cystatin C amyloid angiopathy;exactMatch
Lissencephaly with cerebellar hypoplasia type A;malformation syndrome;broadMatch
Lissencephaly with cerebellar hypoplasia type B;malformation syndrome;broadMatch
Lissencephaly with cerebellar hypoplasia type C;malformation syndrome;broadMatch
Lissencephaly with cerebellar hypoplasia type D;malformation syndrome;broadMatch
Lissencephaly with cerebellar hypoplasia type E;malformation syndrome;broadMatch
Lissencephaly with cerebellar hypoplasia type F;malformation syndrome;broadMatch
Refractory anemia with excess blasts type 1;clinical subtype;broadMatch
Refractory anemia with excess blasts type 1;RAEB-1;exactMatch
Refractory anemia with excess blasts type 2;clinical subtype;broadMatch
Refractory anemia with excess blasts type 2;RAEB-2;exactMatch
