head;tail;relation
Lateral meniscus structure (body structure);Lateral meniscus of knee joint;exactMatch
Structure of base of lung (body structure);Lung field (body structure);broadMatch
Structure of base of lung (body structure);Base of lung;exactMatch
Structure of base of phalanx of index finger (body structure);Base of phalanx of index finger;exactMatch
Structure of ventral spinocerebellar tract of pons (body structure);Anterior spinocerebellar tract of pons;exactMatch
Structure of ventral spinocerebellar tract of pons (body structure);Gower's tract;exactMatch
Structure of ventral spinocerebellar tract of pons (body structure);Ventral spinocerebellar tract of pons;exactMatch
Structure of nucleus pulposus of intervertebral disc of eighth thoracic vertebra (body structure);Nucleus pulposus of intervertebral disc of eighth thoracic vertebra;exactMatch
Structure of nucleus pulposus of intervertebral disc of eighth thoracic vertebra (body structure);Nucleus pulposus, T8-T9;exactMatch
Entire periarticular bone of metacarpophalangeal joint (body structure);Periarticular bone structure of metacarpophalangeal joint (body structure);broadMatch
Structure of left tibiofibular joint (body structure);Left tibiofibular joint;exactMatch
Structure of right tibiofibular joint (body structure);Right tibiofibular joint;exactMatch
Structure of right distal tibiofibular joint (body structure);Right distal tibiofibular joint;exactMatch
Structure of left distal tibiofibular joint (body structure);Left distal tibiofibular joint;exactMatch
Structure of right proximal tibiofibular joint (body structure);Right proximal tibiofibular joint;exactMatch
Structure of left proximal tibiofibular joint (body structure);Left proximal tibiofibular joint;exactMatch
Entire lesser toe of left foot (body structure);Entire left lesser toe;exactMatch
Entire lesser toe of right foot (body structure);Entire right lesser toe;exactMatch
Entire finger of left hand (body structure);Entire left finger;exactMatch
Entire finger of right hand (body structure);Entire right finger;exactMatch
Entire anterior arch of pelvic ring (body structure);Structure of anterior arch of pelvic ring (body structure);broadMatch
Entire posterior arch of pelvic ring (body structure);Structure of posterior arch of pelvic ring (body structure);broadMatch
Structure of flexor annular variable pulley of thumb (body structure);Annular variable ligament of thumb;exactMatch
Structure of flexor annular variable pulley of thumb (body structure);Structure of flexor annular variable pulley of thumb;exactMatch
Structure of second flexor annular pulley of thumb (body structure);Second annular ligament of thumb;exactMatch
Structure of second flexor annular pulley of thumb (body structure);Structure of second flexor annular pulley of thumb;exactMatch
Structure of flexor oblique pulley of thumb (body structure);Annular oblique ligament of thumb;exactMatch
Structure of first flexor annular pulley of thumb (body structure);First annular ligament of thumb;exactMatch
Structure of first flexor annular pulley of thumb (body structure);Structure of first flexor annular pulley of thumb;exactMatch
Entire flexor annular variable pulley of thumb (body structure);Structure of flexor annular variable pulley of thumb (body structure);broadMatch
Entire flexor annular variable pulley of thumb (body structure);Entire flexor annular variable pulley of thumb;exactMatch
Entire second flexor annular pulley of thumb (body structure);Structure of second flexor annular pulley of thumb (body structure);broadMatch
Entire second flexor annular pulley of thumb (body structure);Entire second flexor annular pulley of thumb;exactMatch
Entire first flexor annular pulley of thumb (body structure);Structure of first flexor annular pulley of thumb (body structure);broadMatch
Entire first flexor annular pulley of thumb (body structure);Entire first flexor annular pulley of thumb;exactMatch
Entire flexor oblique pulley of thumb (body structure);Structure of flexor oblique pulley of thumb (body structure);broadMatch
Structure of flexor annular pulley of digit of hand (body structure);Flexor tendon sheath of hand (body structure);broadMatch
Structure of flexor annular pulley of digit of hand (body structure);Flexor annular pulley of digit of hand;exactMatch
Structure of flexor annular pulley of finger (body structure);Flexor annular pulley of finger;exactMatch
Entire flexor annular pulley of digit of hand (body structure);Structure of flexor annular pulley of digit of hand (body structure);broadMatch
Entire flexor annular pulley of finger (body structure);Structure of flexor annular pulley of finger (body structure);broadMatch
Structure of first flexor annular pulley of index finger (body structure);First annular ligament of index finger;exactMatch
Structure of first flexor annular pulley of index finger (body structure);Structure of first flexor annular pulley of index finger;exactMatch
Structure of second flexor annular pulley of index finger (body structure);Second annular ligament of index finger;exactMatch
Structure of second flexor annular pulley of index finger (body structure);Structure of second flexor annular pulley of index finger;exactMatch
Structure of third flexor annular pulley of index finger (body structure);Structure of third flexor annular pulley of index finger;exactMatch
Structure of third flexor annular pulley of index finger (body structure);Third annular ligament of index finger;exactMatch
Structure of fourth flexor annular pulley of index finger (body structure);Fourth annular ligament of index finger;exactMatch
Structure of fourth flexor annular pulley of index finger (body structure);Structure of fourth flexor annular pulley of index finger;exactMatch
Entire first flexor annular pulley of index finger (body structure);Structure of first flexor annular pulley of index finger (body structure);broadMatch
Entire third flexor annular pulley of index finger (body structure);Structure of third flexor annular pulley of index finger (body structure);broadMatch
Entire second flexor annular pulley of index finger (body structure);Structure of second flexor annular pulley of index finger (body structure);broadMatch
Entire fourth flexor annular pulley of index finger (body structure);Structure of fourth flexor annular pulley of index finger (body structure);broadMatch
Structure of first flexor annular pulley of middle finger (body structure);First annular ligament of middle finger;exactMatch
Structure of first flexor annular pulley of middle finger (body structure);Structure of first flexor annular pulley of middle finger;exactMatch
Structure of second flexor annular pulley of middle finger (body structure);Second annular ligament of middle finger;exactMatch
Structure of second flexor annular pulley of middle finger (body structure);Structure of second flexor annular pulley of middle finger;exactMatch
Structure of third flexor annular pulley of middle finger (body structure);Structure of third flexor annular pulley of middle finger;exactMatch
Structure of third flexor annular pulley of middle finger (body structure);Third annular ligament of middle finger;exactMatch
Structure of fourth flexor annular pulley of middle finger (body structure);Fourth annular ligament of middle finger;exactMatch
Structure of fourth flexor annular pulley of middle finger (body structure);Structure of fourth flexor annular pulley of middle finger;exactMatch
Entire first flexor annular pulley of middle finger (body structure);Structure of first flexor annular pulley of middle finger (body structure);broadMatch
Entire second flexor annular pulley of middle finger (body structure);Structure of second flexor annular pulley of middle finger (body structure);broadMatch
Entire third flexor annular pulley of middle finger (body structure);Structure of third flexor annular pulley of middle finger (body structure);broadMatch
Entire fourth flexor annular pulley of middle finger (body structure);Structure of fourth flexor annular pulley of middle finger (body structure);broadMatch
Structure of first flexor annular pulley of ring finger (body structure);First annular ligament of ring finger;exactMatch
Structure of first flexor annular pulley of ring finger (body structure);Structure of first flexor annular pulley of ring finger;exactMatch
Structure of second flexor annular pulley of ring finger (body structure);Second annular ligament of ring finger;exactMatch
Structure of second flexor annular pulley of ring finger (body structure);Structure of second flexor annular pulley of ring finger;exactMatch
Structure of third flexor annular pulley of ring finger (body structure);Structure of third flexor annular pulley of ring finger;exactMatch
Structure of third flexor annular pulley of ring finger (body structure);Third annular ligament of ring finger;exactMatch
Structure of fourth flexor annular pulley of ring finger (body structure);Fourth annular ligament of ring finger;exactMatch
Structure of fourth flexor annular pulley of ring finger (body structure);Structure of fourth flexor annular pulley of ring finger;exactMatch
Entire third flexor annular pulley of ring finger (body structure);Structure of third flexor annular pulley of ring finger (body structure);broadMatch
Entire first flexor annular pulley of ring finger (body structure);Structure of first flexor annular pulley of ring finger (body structure);broadMatch
Entire second flexor annular pulley of ring finger (body structure);Structure of second flexor annular pulley of ring finger (body structure);broadMatch
Entire fourth flexor annular pulley of ring finger (body structure);Structure of fourth flexor annular pulley of ring finger (body structure);broadMatch
Structure of first flexor annular pulley of little finger (body structure);First annular ligament of little finger;exactMatch
Structure of first flexor annular pulley of little finger (body structure);Structure of first flexor annular pulley of little finger;exactMatch
Structure of second flexor annular pulley of little finger (body structure);Second annular ligament of little finger;exactMatch
Structure of second flexor annular pulley of little finger (body structure);Structure of second flexor annular pulley of little finger;exactMatch
Structure of third flexor annular pulley of little finger (body structure);Structure of third flexor annular pulley of little finger;exactMatch
Structure of third flexor annular pulley of little finger (body structure);Third annular ligament of little finger;exactMatch
Structure of fourth flexor annular pulley of little finger (body structure);Fourth annular ligament of little finger;exactMatch
Structure of fourth flexor annular pulley of little finger (body structure);Structure of fourth flexor annular pulley of little finger;exactMatch
Entire third flexor annular pulley of little finger (body structure);Structure of third flexor annular pulley of little finger (body structure);broadMatch
Entire fourth flexor annular pulley of little finger (body structure);Structure of fourth flexor annular pulley of little finger (body structure);broadMatch
Entire second flexor annular pulley of little finger (body structure);Structure of second flexor annular pulley of little finger (body structure);broadMatch
Entire first flexor annular pulley of little finger (body structure);Structure of first flexor annular pulley of little finger (body structure);broadMatch
Structure of transplanted lung (body structure);Transplanted lung;exactMatch
Male structure (body structure);Sex structure (body structure);broadMatch
Male structure (body structure);Male;exactMatch
Male structure (body structure);Male individual;exactMatch
Structure of ophthalmic nerve (body structure);Division of trigeminal nerve (body structure);broadMatch
Structure of ophthalmic nerve (body structure);First division of fifth cranial nerve;exactMatch
Structure of ophthalmic nerve (body structure);First division of trigeminal nerve;exactMatch
Structure of ophthalmic nerve (body structure);Ophthalmic division of fifth cranial nerve;exactMatch
Structure of ophthalmic nerve (body structure);Ophthalmic division of trigeminal nerve;exactMatch
Structure of ophthalmic nerve (body structure);Ophthalmic nerve;exactMatch
Structure of levator labii superioris muscle (body structure);Levator labii superioris muscle;exactMatch
Structure of tendon of flexor digitorum brevis of second toe (body structure);Tendon of flexor digitorum brevis of second toe;exactMatch
Structure of tendon of flexor digitorum brevis of third toe (body structure);Tendon of flexor digitorum brevis of third toe;exactMatch
Structure of tendon of flexor digitorum brevis of fourth toe (body structure);Tendon of flexor digitorum brevis of fourth toe;exactMatch
Structure of tendon of flexor digitorum brevis of fifth toe (body structure);Tendon of flexor digitorum brevis of fifth toe;exactMatch
Structure of tendon of flexor digitorum brevis of fifth toe (body structure);Tendon of flexor digitorum brevis of little toe;exactMatch
Entire tendon of flexor digitorum brevis of second toe (body structure);Structure of tendon of flexor digitorum brevis of second toe (body structure);broadMatch
Entire tendon of flexor digitorum brevis of third toe (body structure);Structure of tendon of flexor digitorum brevis of third toe (body structure);broadMatch
Entire tendon of flexor digitorum brevis of fifth toe (body structure);Structure of tendon of flexor digitorum brevis of fifth toe (body structure);broadMatch
Entire tendon of flexor digitorum brevis of fourth toe (body structure);Structure of tendon of flexor digitorum brevis of fourth toe (body structure);broadMatch
Structure of right cerebellar hemisphere (body structure);Right cerebellar hemisphere structure;exactMatch
Structure of left cerebellar hemisphere (body structure);Left cerebellar hemisphere structure;exactMatch
Neoplasm of umbilical cord (disorder);Umbilical cord neoplasm;exactMatch
Structure of deep volar arch of radial artery (body structure);Arcus palmaris profundus;exactMatch
Structure of deep volar arch of radial artery (body structure);Deep palmar arch of radial artery;exactMatch
Structure of deep volar arch of radial artery (body structure);Deep volar arch of radial artery;exactMatch
Structure of fibrous portion of pericardium (body structure);Pericardium part (body structure);broadMatch
Structure of fibrous portion of pericardium (body structure);Fibrous portion of pericardium;exactMatch
Structure of deep dorsal sacrococcygeal ligament (body structure);Deep dorsal sacrococcygeal ligament;exactMatch
Structure of medial surface of third toe (body structure);Medial surface of third toe;exactMatch
Structure of zygomatic nerve (body structure);Zygomatic nerve;exactMatch
Structure of vagus nerve pharyngeal plexus (body structure);Vagus nerve pharyngeal plexus;exactMatch
Structure of middle part of cartilaginous portion of auditory canal (body structure);Structure of cartilaginous portion of auditory canal (body structure);broadMatch
Structure of middle part of cartilaginous portion of auditory canal (body structure);Middle part of cartilaginous portion of auditory canal;exactMatch
Structure of abdominal lumbar region (body structure);Structure of lateral region of abdomen (body structure);broadMatch
Structure of abdominal lumbar region (body structure);Structure of abdominal lumbar region;exactMatch
Structure of left lumbar region of back (body structure);Left lumbar back region;exactMatch
Structure of left lumbar region of back (body structure);Structure of left lumbar back region;exactMatch
Structure of right lumbar region of back (body structure);Right lumbar back region;exactMatch
Structure of right lumbar region of back (body structure);Structure of right lumbar back region;exactMatch
Structure of left abdominal lumbar region (body structure);Structure of left abdominal lumbar region;exactMatch
Structure of right abdominal lumbar region (body structure);Structure of right abdominal lumbar region;exactMatch
