head;tail;relation
Congenital dystrophy of cornea (disorder);Congenital dystrophy of cornea;exactMatch
Synostosis of bilateral humerus radius and ulna (disorder);Synostosis of bilateral humerus radius and ulna;exactMatch
Congenital teratoma of nasopharynx (disorder);Congenital teratoma of nasopharynx;exactMatch
Structure of articular cartilage of temporomandibular joint (body structure);Articular cartilage of jaw;exactMatch
Structure of articular cartilage of temporomandibular joint (body structure);Articular cartilage of temporomandibular joint;exactMatch
Male structure (body structure);Sex structure (body structure);broadMatch
Male structure (body structure);Male;exactMatch
Male structure (body structure);Male individual;exactMatch
Eccrine papillary adenoma (morphologic abnormality);Benign neoplasm with eccrine differentiation (morphologic abnormality);broadMatch
Giant cell tumor of bone, malignant (morphologic abnormality);Giant cell sarcoma of bone;exactMatch
Giant cell tumor of bone, malignant (morphologic abnormality);Malignant giant cell tumor of bone;exactMatch
Giant cell tumor of bone, malignant (morphologic abnormality);Malignant giant cell tumour of bone;exactMatch
Giant cell tumor of bone, malignant (morphologic abnormality);Malignant osteoclastoma;exactMatch
Giant cell tumor of bone, malignant (morphologic abnormality);Osteoclastoma, malignant;exactMatch
High grade astrocytoma of brain (disorder);High grade astrocytoma brain cancer;exactMatch
Low grade astrocytoma of brain (disorder);Low grade astrocytoma brain cancer;exactMatch
Syndactyly of fingers of bilateral hands (disorder);Bilateral webbed fingers;exactMatch
Syndactyly of fingers of bilateral hands (disorder);Syndactyly of fingers of both hands;exactMatch
Neoplasm of umbilical cord (disorder);Umbilical cord neoplasm;exactMatch
Infantile hemangioma of subglottis (disorder);Infantile subglottic haemangioma;exactMatch
Infantile hemangioma of subglottis (disorder);Infantile subglottic hemangioma;exactMatch
Benign clear-cell neoplasm of lung (disorder);Pulmonary benign clear-cell neoplasm;exactMatch
Bone marrow hyperplasia (disorder);Haematopoietic cell proliferation;exactMatch
Bone marrow hyperplasia (disorder);Hematopoietic cell proliferation;exactMatch
Chief cell adenocarcinoma (morphologic abnormality);Malignant neoplasm, primary (morphologic abnormality);broadMatch
Chief cell adenocarcinoma (morphologic abnormality);Chief cell carcinoma;exactMatch
Structure of left lumbar region of back (body structure);Left lumbar back region;exactMatch
Structure of left lumbar region of back (body structure);Structure of left lumbar back region;exactMatch
Structure of right lumbar region of back (body structure);Right lumbar back region;exactMatch
Structure of right lumbar region of back (body structure);Structure of right lumbar back region;exactMatch
Liver structure (body structure);Liver;exactMatch
Structure of parotid lymph node (body structure);Structure of facial lymph node (body structure);broadMatch
Structure of parotid lymph node (body structure);Parotid lymph node;exactMatch
Structure of skeletal muscle of shoulder (body structure);Muscle of shoulder;exactMatch
Structure of skeletal muscle of shoulder (body structure);Shoulder muscle;exactMatch
Structure of skeletal muscle of shoulder (body structure);Skeletal muscle of shoulder;exactMatch
Skeletal muscle structure of pelvis (body structure);Muscle of pelvis;exactMatch
