head;tail;relation
Vaccine product containing only inactivated whole Vibrio cholerae antigen in oral dose form (medicinal product form);Inactivated cholera vaccine in oral dose form;exactMatch
Product containing recombinant deoxyribonucleic acid (product);Recombinant DNA-containing product;exactMatch
Vaccine product containing only Influenza A virus subtype H5N1 antigen (medicinal product);Influenza H5N1 vaccine;exactMatch
Product containing coagulation protein (product);Clotting factor-containing product;exactMatch
Product containing coagulation protein (product);Coagulation factor-containing product;exactMatch
Mammalian milk based food (substance);Food (substance);broadMatch
Thermoplastic polymer (substance);Plastic (substance);broadMatch
Ergopeptide (substance);Ergopeptine;exactMatch
Ergopeptide (substance);Ergot peptide alkaloid;exactMatch
Ergopeptide (substance);Peptide ergot alkaloid;exactMatch
Brassica oleracea (organism);Brassica (organism);broadMatch
Brassica oleracea (organism);Broccoli;exactMatch
Brassica oleracea (organism);Brussels sprouts;exactMatch
Brassica oleracea (organism);Cabbage;exactMatch
Brassica oleracea (organism);Kale;exactMatch
Cannabis sativa (organism);Indian hemp;exactMatch
Cannabis sativa (organism);Marihuana;exactMatch
Cannabis sativa (organism);Marijuana;exactMatch
Salmonella Oakland (organism);Salmonella I, group O:7 (organism);broadMatch
Salmonella Oakland (organism);Salmonella 6,7:z:1,6,7;exactMatch
Salmonella Oakland (organism);Salmonella enterica subsp. enterica ser. Oakland;exactMatch
Insecticide therapeutic role (role);Therapeutic role (role);broadMatch
Vaccine product containing only inactivated whole Hepatitis A virus HM-175 strain antigen (medicinal product);Inactivated whole Hepatitis A HM-175 strain vaccine;exactMatch
Vaccine product containing only live attenuated Human alphaherpesvirus 3 Oka-Merck strain antigen (medicinal product);Live attenuated Oka-Merck strain varicella vaccine;exactMatch
Vaccine product containing only inactivated whole Hepatitis A virus GBM strain antigen (medicinal product);Inactivated whole Hepatitis A GBM strain vaccine;exactMatch
Vaccine product containing only live attenuated Human alphaherpesvirus 3 Oka strain antigen (medicinal product);Live attenuated Oka strain varicella vaccine;exactMatch
Sex hormone (disposition);Hormone (disposition);broadMatch
Scabicide therapeutic role (role);Acaricide therapeutic role (role);broadMatch
Vaccine product containing only Haemophilus influenzae type B capsular polysaccharide polyribosylribitol phosphate conjugated to Clostridium tetani toxoid protein (medicinal product);Haemophilus influenzae type B capsular polysaccharide polyribosylribitol phosphate conjugated to Clostridium tetani toxoid vaccine;exactMatch
Vaccine product containing only live attenuated Vibrio cholerae antigen in oral dose form (medicinal product form);Live attenuated cholera vaccine in oral dose form;exactMatch
Procarbazine hydrochloride (substance);Ibenzmethyzin;exactMatch
Prostaglandin PGF2 (substance);F series prostaglandin (substance);broadMatch
Prostaglandin PGF2 (substance);PGF>2<;exactMatch
Prostaglandin PGF2 (substance);Prostaglandin F>2<;exactMatch
Prostaglandin PGE3 (substance);E series prostaglandin (substance);broadMatch
Prostaglandin PGE3 (substance);Prostaglandin E3;exactMatch
Prostaglandin PGE3 (substance);Prostaglandin E>3<;exactMatch
Citrus fruit (substance);Fruit (substance);broadMatch
Growth stimulant (substance);Animal feed (substance);broadMatch
Phenylketone (substance);Ketone (substance);broadMatch
Fumaric acid (substance);Allomaleic acid;exactMatch
Fumaric acid (substance);trans-Butenedioic acid;exactMatch
Heptanoic acid (substance);Organic acid and organic acid derivative (substance);broadMatch
Para-methyl hippurate (substance);Hippuric acid and hippuric acid derivative (substance);broadMatch
Para-methyl hippurate (substance);p-methyl hippurate;exactMatch
Insulin-like growth factor binding protein 3 (substance);Insulin-like growth factor binding protein (substance);broadMatch
Insulin-like growth factor binding protein 3 (substance);IGF-BP 3 - Insulin-like growth factor binding protein 3;exactMatch
Esterified fatty acid (substance);Fatty acid ester;exactMatch
Medium chain fatty acid (substance);Fatty acid (substance);broadMatch
Long chain fatty acid (substance);Fatty acid (substance);broadMatch
Aliphatic carboxylic acid, C10-C26 (substance);Long chain fatty acid (substance);broadMatch
Aliphatic carboxylic acid, C10-C26 (substance);Aliphatic carboxylic acids, C10-C26;exactMatch
Aliphatic carboxylic acid, C14-C26 (substance);Aliphatic carboxylic acid, C10-C26 (substance);broadMatch
Aliphatic carboxylic acid, C14-C26 (substance);Aliphatic carboxylic acids, C14-C26;exactMatch
Propionic acid (substance);Propanoic acid;exactMatch
Polyunsaturated fatty acid (substance);Unsaturated fatty acid (substance);broadMatch
Polyunsaturated fatty acid (substance);PUFA - Polyunsaturated fatty acid;exactMatch
Monounsaturated fatty acid (substance);Unsaturated fatty acid (substance);broadMatch
Monounsaturated fatty acid (substance);MUFA - Monounsaturated fatty acid;exactMatch
Saturated fatty acid (substance);Unesterified fatty acid (substance);broadMatch
Sulfur-bearing amino acid (substance);Amino acid (substance);broadMatch
Sulfur-bearing amino acid (substance);Sulphur-bearing amino acid;exactMatch
Ribonucleic acid, double stranded (substance);Ribonucleic acid (substance);broadMatch
Ribonucleic acid, double stranded (substance);dsRNA;exactMatch
Proenzyme (substance);Enzyme precursor;exactMatch
Betahistidine (substance);Hypotensive agent (substance);broadMatch
Structure of iliac artery (body structure);Iliac artery;exactMatch
Substance with hormone receptor antagonist mechanism of action (substance);Hormone antagonist;exactMatch
Substance with hormone receptor antagonist mechanism of action (substance);Substance with hormone receptor antagonist mechanism of action;exactMatch
Substance with androgen receptor antagonist mechanism of action (substance);Substance with androgen receptor antagonist mechanism of action;exactMatch
18-hydroxycorticosteroid (substance);Corticosterone (substance);broadMatch
18-hydroxycorticosteroid (substance);18-hydroxy-corticosteroid;exactMatch
18-hydroxycorticosterone (substance);11-beta,18,21-trihydroxypregn-4-ene-3,20-dione;exactMatch
11-deoxysteroid (substance);Corticosteroid and corticosteroid derivative (substance);broadMatch
11-deoxysteroid (substance);11-deoxy steroid;exactMatch
11-oxycorticosteroid (substance);Corticosteroid and corticosteroid derivative (substance);broadMatch
11-oxycorticosteroid (substance);11-oxycorticosterone;exactMatch
11-oxycorticosteroid (substance);11-oxysteroid;exactMatch
Androstanolone (substance);(5-alpha, 17-beta)-17-hydroxyandrostan-3-one;exactMatch
Androstanolone (substance);4-dihydrotestosterone;exactMatch
Androstanolone (substance);5-alpha-dihydrotestosterone;exactMatch
Androstanolone (substance);DHT – 5-alpha-dihydrotestosterone;exactMatch
Androstanolone (substance);Dihydrotestosterone;exactMatch
Androstanolone (substance);Stanolone;exactMatch
